```markdown
# 研華股份有限公司及子公司

## 合併損益表

### 民國 111 年及 110 年 1 月至 9 月 30 日

(僅經核閱，未依一般公認會計準則查核)

### 單位：新台幣仟元

(除每股盈餘為新台幣元外)

| 項目 | 附註 | 111 年 7 月 1 日至 9 月 30 日 | 110 年 7 月 1 日至 9 月 30 日 | 111 年 1 月 1 日至 9 月 30 日 | 110 年 1 月 1 日至 9 月 30 日 |
|------|------|-----------------------------|-----------------------------|-----------------------------|-----------------------------|
| 4000 | 營業收入 | $18,613,912 | $15,506,864 | $51,557,924 | $42,877,954 |
| 5000 | 營業成本 | (11,834,275) | (9,800,835) | (32,121,677) | (26,745,909) |
| 5950 | 營業毛利淨額 | 6,779,637 | 5,706,029 | 19,436,247 | 16,132,045 |
| 6100 | 推銷費用 | (1,428,671) | (1,200,627) | (4,184,863) | (3,649,590) |
| 6200 | 管理費用 | (757,412) | (781,178) | (2,219,020) | (2,169,709) |
| 6300 | 研究發展費用 | (1,191,397) | (1,123,052) | (3,490,398) | (3,215,351) |
| 6450 | 預期信用減損利益(損失) | (23,771) | - | (41,279) | - |
| 6000 | 營業費用合計 | (3,401,251) | (3,098,412) | (9,935,560) | (9,040,222) |
| 6900 | 營業利益 | 3,378,386 | 2,607,617 | 9,500,687 | 7,091,823 |
| 7100 | 利息收入 | 8,983 | - | 21,514 | - |
| 7010 | 其他收入 | 271,023 | 1 | 352,773 | 1 |
| 7020 | 其他利益及損失 | 125,161 | 1 | 143,518 | - |
| 7050 | 財務成本 | (6,547) | - | (19,047) | - |
| 7060 | 採用權益法認列之關聯企業及合資損益之份額 | 189,841 | 1 | 117,212 | 1 |
| 7000 | 營業外收入及支出合計 | 588,461 | 3 | 275,195 | 2 |
| 7900 | 稅前淨利 | 3,966,847 | 21 | 2,882,812 | 19 |
| 7950 | 所得稅費用 | (790,554) | (4) | (595,901) | (4) |
| 8200 | 本期淨利 | $3,176,293 | 17 | $2,286,911 | 15 |

(續 次 頁)
```
