1. **文件类型**：这是一份财务报表，具体来说是合并财务报告的一部分，涉及子公司的信息。

2. **主要标题或类别**：
   - **子公司列表**：列出了合并财务报告中包含的子公司及其相关信息。
   - **财务数据摘要**：提供了各个子公司的持股比例、业务性质、业务范围等详细信息。

3. **财务数据摘要**：
   - **持股比例**：列出了各个子公司在报告期末的持股比例。
   - **业务性质**：描述了每个子公司的主要业务性质。
   - **业务范围**：列出了每个子公司的主要业务范围。
   - **说明**：对某些子公司进行了额外的说明，解释了持股比例或业务性质的特殊情况。

具体数据如下：

| 子公司名称 | 持股比例 | 业务性质 | 业务范围 | 说明 |
|------------|----------|----------|----------|------|
| 光宝汇才资讯服务股份有限公司 | 100.00% | 资讯服务 | 资讯服务 | - |
| 源泰投资股份有限公司 | 100.00% | 一般投资 | 一般投资 | - |
| 天亮医疗器械股份有限公司 | 55.19% | 医疗器械 | 医疗器械 | - |
| LITE-ON ELECTRONICS H.K. LIMITED | 100.00% | LED光电子产品 | LED光电子产品 | - |
| Lite-On Electronics (Thailand) Co., Ltd. | 100.00% | LED光电子产品 | LED光电子产品 | - |
| Lite-On Japan Ltd. | 100.00% | LED光电子产品 | LED光电子产品 | - |
| Lite-On International Holding Co., Ltd. | 100.00% | 一般投资 | 一般投资 | - |
| LTC GROUP LTD. | 100.00% | 一般投资 | 一般投资 | - |
| LITE-ON TECHNOLOGY USA, INC. | 100.00% | 一般投资 | 一般投资 | - |
| LITE-ON ELECTRONICS (EUROPE) LIMITED | 100.00% | 电源供应器 | 电源供应器 | - |
| Lite-On Technology (Europe) B.V. | 54.00% | 市场资讯 | 市场资讯 | - |
| Lite-On Overseas Trading Co., Ltd. | 100.00% | 一般投资 | 一般投资 | - |
| LITE-ON SINGAPORE PTE. LTD. | 100.00% | 各种电脑配件 | 各种电脑配件 | - |
| LITE-ON VIETNAM CO., LTD. | 100.00% | 专业电子制造产品 | 专业电子制造产品 | - |
| EAGLE ROCK INVESTMENT LTD. | 100.00% | 进出口贸易 | 进出口贸易 | - |
| LITE-ON MOBILE PTE. LTD. | 100.00% | 从事行动电话 | 从事行动电话 | - |
| HIGH YIELD GROUP CO., LTD. | 100.00% | 控股公司 | 控股公司 | - |
| 飞利浦建兴数位科技股份有限公司 | 49.00% | 光碟机销售 | 光碟机销售 | - |
| LET (HK) LIMITED | 100.00% | 光碟机销售 | 光碟机销售 | - |
| Lite-On Automotive International (Cayman) Co., Ltd. | 100.00% | 一般投资 | 一般投资 | - |
| LITE-ON AUTOMOTIVE ELECTRONICS MEXICO, S.A. DE C.V. | 99.00% | 生产、制造、销售、进口与出口 | 生产、制造、销售、进口与出口 | - |
| LITE-ON POWER ELECTRONIC INDIA PRIVATE LIMITED | 99.00% | 製造及销售手 | 製造及销售手 | - |
| KBW-LITEON Jordan Private Shareholding Limited | 99.86% | 生产及製造節能 | 生产及製造節能 | - |
| KBW-LEOTEK Jordan Private Shareholding Limited | 49.00% | 一般投资 | 一般投资 | - |
| 光林智能科技股份有限公司（原名：光林智通股份有限公司） | 100.00% | 路燈、交通信号灯、室内外景 | 路燈、交通信号灯、室内外景 | - |
| LITE-ON MOBILE INDUSTRIA E COMÉRCIO DE PLÁSTICOS LTDA. | 2.97% | 从事行动电话 | 从事行动电话 | - |
