```markdown
| 投资公司名稱 | 子公司名稱 | 业务 | 性质 | 资产 | 所持股权百分比 |
|--------------|------------|------|------|------|------------------|
| 光宝医疗器械（常州）有限公司 | 新管务 | 医疗器械设备之生产及销售 | 100.00 | 100.00 | 100.00 |
| 光宝科技（江蘇）有限公司 | 常州光林新能源贸易有限公司 | 路灯、交通信号灯、室内外景 | 100.00 | 100.00 | 100.00 |
| 光宝汽车电子常州有限公司 | 观灯、照明灯、新型电子元 | 电子产品的加工、制造及销售 | 100.00 | 100.00 | 100.00 |
| 光宝绿能科技南京有限公司 | 太阳能系统工程 | 100.00 | 100.00 | 100.00 | 1 |
| YET FOUNDATE | 東莞光宝电脑有限公司 | 生产销售电脑主机及其配 | 100.00 | 100.00 | 100.00 |
| LIMITED | 件、键盘、扫描器、印表机 | 及滑鼠 | 100.00 | 100.00 | 100.00 |
| FORDGOOD | 光宝力信科技（贛州）有限公司 | 生产销售各种新型电子元 | 100.00 | 100.00 | 100.00 |
| ELECTRONIC | 件、电力电子器件 | 100.00 | 100.00 | 100.00 | 1 |
| LIMITED | LITE-ON, INC. | 光电产品及电源供应器之销 | 100.00 | 100.00 | 100.00 |
| TECHNOLOGY | 销售资料处理事业 | 100.00 | 100.00 | 100.00 | 1 |
| USA, INC. | LITE-ON TRADING USA, INC. | 3C产品及光电产品等之销售 | 100.00 | 100.00 | 100.00 |
| LEOTEK ELECTRONICS USA | 销售发光二极管应用产品 | - | - | 100.00 | 1,5 |
| LLC | POWER INNOVATIONS | 電源控制及能源管理之技术 | 100.00 | 100.00 | 95.25 |
| INTERNATIONAL, INC. | 开发、设计和制造 | 100.00 | 100.00 | 100.00 | 1 |
| LITE-ON TECHNOLOGY | 3C产品及光电产品等之售後 | 100.00 | 100.00 | 100.00 | 1 |
| SERVICE, INC. | 服务 | 100.00 | 100.00 | 100.00 | - |
| Lite-On International | Lite-On CHINA HOLDING | 一般投资业 | 100.00 | 100.00 | 100.00 |
| Holding Co., Ltd. | CO., LTD. | 100.00 | 100.00 | 100.00 | 1 |
| LITE-ON | 光宝科技（咸宁）有限公司 | 生产和销售新型电子零件、电 | 100.00 | 100.00 | 100.00 |
| SINGAPORE PTE. | 力电子零件 | 100.00 | 100.00 | 100.00 | 1 |
| LTD. | 光宝科技（上海）有限公司 | 节能设备之生产及销售 | 100.00 | 100.00 | 100.00 |
| LITE-ON AUTOMOTIVE | 生产、制造、销售、进口与出 | 1.00 | 1.00 | 1.00 | 1 |
| ELECTRONICS MEXICO, | 口光电装置、关键电子零组 | 100.00 | 100.00 | 100.00 | 1 |
| S.A. DE C.V. | 件、通讯装置、资讯科技装 | 100.00 | 100.00 | 100.00 | 1 |
| LITE-ON POWER | 製造及销售手机充电器及电 | 1.00 | 1.00 | 1.00 | 1 |
| ELECTRONIC INDIA | 源供应产品 | 100.00 | 100.00 | 100.00 | 1 |
| PRIVATE LIMITED | 光宝科技（上海）有限公司 | 路灯、交通信号灯、室内外景 | 100.00 | 100.00 | 100.00 |
| LITE-ON POWER | 观灯、照明灯、新型电子元 | 100.00 | 100.00 | 100.00 | 1 |
| ELECTRONIC INDIA | 器件、零件国内采购批发、进 | 100.00 | 100.00 | 100.00 | 1 |
| PRIVATE LIMITED | 出口业务及安装施工 | 100.00 | 100.00 | 100.00 | 1 |
| LTC GROUP LTD. | TITANIC CAPITAL SERVICES | 一般投资业 | 100.00 | 100.00 | 100.00 |
| LTD. | Lite-On (Finland) Oy | 从事行动电话模具、组装线设 | 100.00 | 100.00 | 100.00 |
| Lite-On (Finland) | Lite-On Mobile Oyj | 计、制造与销售 | 100.00 | 100.00 | 100.00 |
| Oy | Lite-On Electronics | 从事行动电话模具、组装线设 | - | 100.00 | 100.00 |
| COMPANY LIMITED | 计、制造与销售 | 1,11 |
| LITE-ON CHINA | Lite-On Electronics | 一般投资业 | 100.00 | 100.00 | 100.00 |
| HOLDING CO. | COMPANY LIMITED | 100.00 | 100.00 | 100.00 | - |
| LTD. | YET FOUNDATE LIMITED | 橡（塑）胶制品及电脑过边之 | 100.00 | 100.00 | 100.00 |
| | 制造 | 100.00 | 100.00 | 100.00 | 1 |
| | FORDGOOD ELECTRONIC | 进出口贸易、制造、控股买卖 | 100.00 | 100.00 | 100.00 |
| LIMITED | 不动产、代理等业务 | 100.00 | 100.00 | 100.00 | 1 |
| | G&W TECHNOLOGY (BVI) | 不动产买卖 | 50.00 | 50.00 | 50.00 |
| LIMITED | G&W TECHNOLOGY | 租赁业 | 100.00 | 100.00 | 100.00 |
| (BVI) LIMITED | EAGLE ROCK | 惠州市力信电子有限公司 | 100.00 | 100.00 | 100.00 |
| INVESTMENT | LITE-ON IT | 生产销售各种电脑、电子、家 | 100.00 | 100.00 | 100.00 |
| LTD. | INTERNATIONAL (HK) | 电用变压器及过边配套材料 | 100.00 | 100.00 | 100.00 |
| LIMITED | LITE-ON IT | 光碟机销售 | 100.00 | 100.0
