根据提供的图像，以下是处理后的文本和表格数据输出：

### 文本输出

（承前頁）

| 關係人名稱 | 與本集團之關係 |
|------------|----------------|
| ST-2 Satellite Ventures Pte., Ltd. | 關聯企業 |
| CHT Infinity Singapore Pte. Ltd. | 關聯企業 |
| Viettel-CHT Co., Ltd. | 關聯企業 |
| 域動行銷股份有限公司 | 關聯企業 |
| 群信行動數位科技股份有限公司 | 關聯企業（註 1） |
| 中華網家一號股份有限公司 | 關聯企業 |
| 基石創新創業投資股份有限公司 | 關聯企業 |
| 將來商業銀行股份有限公司 | 關聯企業 |
| 緯謙科技股份有限公司 | 關聯企業 |
| 農譯科技股份有限公司 | 關聯企業（註 2） |
| 慧誠智醫股份有限公司 | 關聯企業（註 2） |
| 保華資安股份有限公司 | 關聯企業 |
| 中華東南亞控股股份有限公司 | 關聯企業 |
| 其他關係人 | |
| 財團法人中華電信基金會 | |
| 財團法人神腦科技文教基金會 | |
| 碩銓科技股份有限公司 | |
| 全國電子股份有限公司 | |
| 坤洲股份有限公司 | |
| 正剛投資股份有限公司 | |
| 正峯投資股份有限公司 | |
| 全方位國際投資股份有限公司 | |
| 華順投資股份有限公司 | |
| 裕祐投資股份有限公司 | |
| 神之零興業股份有限公司 | |
| 康歆企業股份有限公司 | |
| 聯合報股份有限公司 | |
| 深圳市世紀通訊有限公司 | |
| 研華股份有限公司 | |

### 註 1：群信行動數位科技股份有限公司已於 110 年 8 月清算完結，請參閱附注十四之說明。

### 註 2：農譯科技股份有限公司及慧誠智醫股份有限公司原帳列透過其他綜合損益按公允價值衡量之金融資產，因本集團於 110 年 7 月及 8 月分別取得

### 表格数据输出

| 關係人名稱 | 與本集團之關係 |
|------------|----------------|
| ST-2 Satellite Ventures Pte., Ltd. | 關聯企業 |
| CHT Infinity Singapore Pte. Ltd. | 關聯企業 |
| Viettel-CHT Co., Ltd. | 關聯企業 |
| 域動行銷股份有限公司 | 關聯企業 |
| 群信行動數位科技股份有限公司 | 關聯企業（註 1） |
| 中華網家一號股份有限公司 | 關聯企業 |
| 基石創新創業投資股份有限公司 | 關聯企業 |
| 將來商業銀行股份有限公司 | 關聯企業 |
| 緯謙科技股份有限公司 | 關聯企業 |
| 農譯科技股份有限公司 | 關聯企業（註 2） |
| 慧誠智醫股份有限公司 | 關聯企業（註 2） |
| 保華資安股份有限公司 | 關聯企業 |
| 中華東南亞控股股份有限公司 | 關聯企業 |
| 其他關係人 | |
| 財團法人中華電信基金會 | |
| 財團法人神腦科技文教基金會 | |
| 碩銓科技股份有限公司 | |
| 全國電子股份有限公司 | |
| 坤洲股份有限公司 | |
| 正剛投資股份有限公司 | |
| 正峯投資股份有限公司 | |
| 全方位國際投資股份有限公司 | |
| 華順投資股份有限公司 | |
| 裕祐投資股份有限公司 | |
| 神之零興業股份有限公司 | |
| 康歆企業股份有限公司 | |
| 聯合報股份有限公司 | |
| 深圳市世紀通訊有限公司 | |
| 研華股份有限公司 | |

请注意，上述输出是根据提供的图像内容生成的，具体数据和关系可能需要根据财务报告的完整内容进行验证和确认。
