### 财务报告

#### 合并综合损益表
**民國一一一年及一一○年一月一日至三月三十一日**
(僅經核閱，未依一般公認審計準則查核)
(金額除每股盈餘外，均以新台幣千元為單位)

| 代 碼 | 項 目 | 附 註 | 金 額 | % | 金 額 | % |
|-------|-------|-------|-------|---|-------|---|
| 4000  | 營業收入 | 六.20及七 | $ 63,422,820 | 100.00 | $ 47,097,012 | 100.00 |
| 5000  | 營業成本 | 六.5、六.10、六.15、六.19、六.20、六.21及七 | (35,918,490) | (56.63) | (34,602,710) | (73.47) |
| 5950  | 營業毛利 | | 27,504,330 | 43.37 | 12,494,302 | 26.53 |
| 6100  | 推銷費用 | | (1,254,548) | (1.98) | (1,089,397) | (2.31) |
| 6200  | 管理費用 | | (2,226,939) | (3.51) | (1,806,266) | (3.84) |
| 6300  | 研究發展費用 | | (3,032,939) | (4.78) | (3,048,992) | (6.47) |
| 6450  | 預期信用減損利益 | | 945 | 0.00 | 12,452 | 0.02 |
| 6000  | 營業費用合計 | | (6,513,481) | (10.27) | (5,932,203) | (12.60) |
| 6500  | 其他收益及費損淨額 | 六.16及六.22 | 1,343,338 | 2.12 | 1,059,648 | 2.25 |
| 6900  | 營業利益 | | 22,334,187 | 35.22 | 7,621,747 | 16.18 |
| 7000  | 營業外收入及支出 | | | | | |
| 7100  | 利息收入 | | 168,970 | 0.27 | 116,443 | 0.25 |
| 7010  | 其他收入 | | 16,630 | 0.03 | 14,106 | 0.03 |
| 7020  | 其他利益及損失 | 六.23 | 2,564,170 | 4.04 | 1,776,997 | 3.77 |
| 7050  | 財務成本 | 六.23 | (503,890) | (0.80) | (406,249) | (0.86) |
| 7060  | 採用權益法認列之關聯企業及合資損益之份額 | 六.6 | (1,858,432) | (2.93) | 1,766,569 | 3.75 |
| 7230  | 外幣兌換利益 | | 926,239 | 1.46 | 93,456 | 0.20 |
| 7000  | 營業外收入及支出合計 | | 1,313,687 | 2.07 | 3,361,322 | 7.14 |
| 7900  | 稅前淨利 | | 23,647,874 | 37.29 | 10,983,069 | 23.32 |
| 7950  | 所得稅費用 | 六.25 | (3,582,251) | (5.65) | (1,094,171) | (2.32) |
| 8200  | 本期淨利 | | 20,065,623 | 31.64 | 9,888,898 | 21.00 |
| 8300  | 其他綜合損益 | 六.24 | | | | |
| 8316  | 透過其他綜合損益按公允價值衡量之 | | (1,666,445) | (2.63) | 4,176,385 | 8.87 |
| 8320  | 權益工具投資未實現評價損益 | | (733,160) | (1.15) | 875,739 | 1.86 |
| 8349  | 採用權益法認列之關聯企業及合資之其他綜合 | | (55,120) | (0.09) | (33,302) | (0.07) |
| 8361  | 損益之份額-不重分類至損益之項目 | | | | | |
| 8370  | 國外營運機構財務報表換算之兌換差額 | | 3,773,432 | 5.95 | (1,456,238) | (3.10) |
| 8370  | 採用權益法認列之關聯企業及合資之其他綜合 | | 133,067 | 0.21 | (5,576) | (0.01) |
| 8399  | 損益之份額-可能重分類至損益之項目 | | (29,890) | (0.05) | (1,018) | (0.00) |
| 8300  | 與可能重分類之項目相關之所得稅 | 六.25 | | | | |
| 8500  | 本期其他綜合損益(淨額) | | 1,421,884 | 2.24 | 3,555,990 | 7.55 |
| 8500  | 本期綜合損益總額 | | $ 21,487,507 | 33.88 | $ 13,444,888 | 28.55 |
| 8610  | 淨利(損)歸屬於： | | | | | |
| 8610  | 母公司業主 | | $ 19,807,535 | 31.23 | $ 10,427,915 | 22.14 |
| 8620  | 非控制權益 | | 258,088 | 0.41 | (539,017) | (1.14) |
| 8610  | 淨利(損)歸屬於： | | $ 20,065,623 | 31.64 | $ 9,888,898 | 21.00 |
| 8710  | 綜合損益總額歸屬於： | | | | | |
| 8710  | 母公司業主 | | $ 21,229,387 | 33.47 | $ 13
