# 财务报告

## 流动资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金及约当现金 | $ 69,192,921 | $ 61,546,836 | $ 53,165,861 |
| 透过损益按公允价值衡量之金融资产－流动 | 1,782,595 | 1,759,612 | 1,404,647 |
| 按摊销后成本衡量之金融资产－流动 | 257,827 | 265,382 | 334,253 |
| 合约资产－流动 | 4,141,119 | 4,135,672 | 3,130,988 |
| 应收票据净额 | 2,510,127 | 3,123,642 | 2,998,591 |
| 应收账款净额 | 73,738,077 | 84,074,069 | 68,013,252 |
| 应收账款－关联人净额 | 27,663 | 29,551 | 20,732 |
| 其他应收账款 | 2,854,217 | 2,449,171 | 2,634,460 |
| 本期所得税资产 | 503,581 | 379,086 | 513,015 |
| 存货 | 80,529,074 | 79,844,364 | 67,188,249 |
| 预付款项 | 2,741,676 | 2,690,148 | 2,221,718 |
| 其他流动资产 | 114,134 | 152,933 | 82,226 |
| 流动资产合计 | 238,393,011 | 240,450,466 | 201,707,992 |

## 非流动资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 透过损益按公允价值衡量之金融资产－非流动 | 2,415,856 | 2,771,627 | 3,078,138 |
| 透过其他综合损益按公允价值衡量之金融资产－非流动 | 2,394,529 | 1,740,553 | 1,626,801 |
| 合约资产－非流动 | 657,659 | 503,403 | 490,986 |
| 接受权益法之投资 | 99,870 | 92,430 | 66,847 |
| 不动产、厂房及设备 | 89,136,306 | 86,266,587 | 79,143,617 |
| 使用权资产 | 4,391,428 | 5,086,323 | 3,138,962 |
| 投资性不流动资产净额 | 14,070 | 18,128 | 14,070 |
| 無形资产 | 77,229,255 | 77,169,854 | 75,163,017 |
| 遗留所得税资产 | 8,420,307 | 8,175,453 | 7,439,889 |
| 其他非流动资产 | 3,485,048 | 3,598,982 | 2,322,996 |
| 非流动资产合计 | 188,244,328 | 185,423,340 | 172,485,323 |

## 资产总计

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 资产总计 | $ 426,637,339 | $ 425,873,806 | $ 374,193,315 |

---

(续次页)
