### 财务报告

#### 110年1月1日至9月30日

| 项目 | 110年1月1日余额 | 110年1月1日至9月30日 | 110年9月30日余额 |
|------|----------------|----------------------|------------------|
| 股本 | $ 259,303,805 | $ 64,746,864 | $ 324,050,669 |
| 资本公积 | $ 56,347,243 | $ 311,146,899 | $ 367,494,142 |
| 法定盈余公积 | $ 42,259,146 | $ 1,235,280,036 | $ 1,277,539,182 |
| 未分配盈余 | $ 1,588,686,081 | $ 2,311,754 | $ 1,800,440,835 |
| 国外营运机构财务报表换算之汇率差异 | $ 57,033,627 | $ - | $ - |
| 未实现评估增值 | $ 2,121,754 | $ - | $ - |
| 避险工具损益 | $ - | $ - | $ - |
| 员工未赚得酬金 | $ - | $ - | $ - |
| 其他权益合计 | $ - | $ (54,679,873) | $ - |
| 库藏股 | $ - | $ - | $ - |
| 每公司股东权益合计 | $ 1,949,657,256 | $ 964,743 | $ 1,850,621,999 |

#### 110年1月1日至9月30日净利润

| 项目 | 110年1月1日至9月30日净利润 |
|------|-----------------------------|
| 股本 | $ 259,303,805 |
| 资本公积 | $ 64,746,864 |
| 法定盈余公积 | $ 311,146,899 |
| 未分配盈余 | $ 1,235,280,036 |
| 国外营运机构财务报表换算之汇率差异 | $ 57,033,627 |
| 未实现评估增值 | $ 2,121,754 |
| 避险工具损益 | $ - |
| 员工未赚得酬金 | $ - |
| 其他权益合计 | $ (54,679,873) |
| 库藏股 | $ - |
| 每公司股东权益合计 | $ 1,949,657,256 |
| 非控制权益 | $ 964,743 |
| 每公司股东权益合计 | $ 1,850,621,999 |

#### 110年1月1日至9月30日综合收益总额

| 项目 | 110年1月1日至9月30日综合收益总额 |
|------|----------------------------------|
| 股本 | $ 259,303,805 |
| 资本公积 | $ 64,746,864 |
| 法定盈余公积 | $ 311,146,899 |
| 未分配盈余 | $ 1,235,280,036 |
| 国外营运机构财务报表换算之汇率差异 | $ 57,033,627 |
| 未实现评估增值 | $ 2,121,754 |
| 避险工具损益 | $ - |
| 员工未赚得酬金 | $ - |
| 其他权益合计 | $ (54,679,873) |
| 库藏股 | $ - |
| 每公司股东权益合计 | $ 1,949,657,256 |
| 非控制权益 | $ 964,743 |
| 每公司股东权益合计 | $ 1,850,621,999 |

#### 110年1月1日至9月30日净利润

| 项目 | 110年1月1日至9月30日净利润 |
|------|----------------------------------|
| 股本 | $ 259,303,805 |
| 资本公积 | $ 64,746,864 |
| 法定盈余公积 | $ 311,146,899 |
| 未分配盈余 | $ 1,235,280,036 |
| 国外营运机构财务报表换算之汇率差异 | $ 57,033,627 |
| 未实现评估增值 | $ 2,121,754 |
| 避险工具损益 | $ - |
| 员工未赚得酬金 | $ - |
| 其他权益合计 | $ (54,679,873) |
| 库藏股 | $ - |
| 每公司股东权益合计 | $ 1,949,657,256 |
| 非控制权益 | $ 964,743 |
| 每公司股东权益合计 | $ 1,850,621,999 |

#### 110年1月1日至9月30日综合收益总额

| 项目 | 110年1月1日至9月30日综合收益总额 |
|------|----------------------------------|
| 股本 | $ 259,303,805 |
| 资本公积 | $ 64,746,864 |
| 法定盈余公积 | $ 311,146,899 |
| 未分配盈余 | $ 1,235,280,036 |
| 国外营运机构财务报表换算之汇率差异 | $ 57,033,627 |
| 未实现评估增值 | $ 2,121,754 |
| 避险工具损益 | $ - |
| 员工未赚得酬金 | $ - |
| 其他权益合计 | $ (54,679,873) |
| 库藏股 | $ - |
| 每公司股东权益合计 | $ 1,949,657,256 |
| 非控制权益 | $ 964,743 |
| 每公司股东权益合计 | $ 1,850,621,999 |

#### 110年1月1日至9月30日净利润

| 项目 | 110年1月1日至9月30日净利润 |
|------|----------------------------------|
| 股本 | $ 259,303,805 |
| 资本公积 | $ 64,746,864 |
| 法定盈余公积 | $ 311,146,899 |
| 未分配盈余 | $ 1,235,280,036 |
| 国外营运机构财务报表换算之汇率差异 | $ 57,033,627 |
| 未实现评估增值 | $ 2,121,754 |
| 避险工具损益 | $ - |
| 员工未赚得酬金 | $ - |
| 其他权益合计 | $ (54,679,873) |
| 库藏股 | $ - |
| 每公司股东权益合计 | $ 1,949,657,256 |
| 非控制权益 | $ 964,743 |
| 每公司股东权益合计 | $ 1,850,621,999 |

#### 110年1月1日至9月30日综合收益总额

| 项目 | 110年1月1日至9月30日综合收益总额 |
|------|----------------------------------|
| 股本 | $ 259,303,805 |
| 资本公积 | $ 64,746,864 |
| 法定
