### 财务报告

#### 2. 员工福利费用

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 短期员工福利 | $2,936,577 | $2,781,751 |
| 退职后福利 | | |
| 确定提拨计划 | 107,977 | 98,483 |
| 确定福利计划 | 1,514 | 2,208 |
| 总计 | 109,491 | 100,691 |
| 股份基础给付 | | |
| 权益交割 | 37,542 | 83,147 |
| 其他员工福利 | 250,843 | 209,255 |
| 员工福利费用合计 | $3,334,453 | $3,174,844 |

#### 依功能别彙總

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 营业成本 | $752,585 | $769,307 |
| 营业费用 | 2,581,868 | 2,405,537 |
| 总计 | $3,334,453 | $3,174,844 |

#### (1) 本公司依章程规定，係按當年度獲利狀況扣除累積虧損後，如尚有餘額，則按扣除分派員工及董事酬勞前之稅前利益分別以不低於5%提撥員工酬勞以及不高於1%提撥董事酬勞。民國112年及111年1月1日至3月31日估列之員工酬勞及董事酬勞，係依據過去經驗以可能發生之金額為基礎，按前述稅前利益估列之，並帳列薪資費用。

#### (2) 民國111年及110年度員工酬勞及董事酬勞分別於民國112年2月24日及民國111年2月25日經董事會決議配發金額如下：

| 项目 | 111年度 | 110年度 |
|------|--------|--------|
| 员工酬勞 | $740,000 | $600,000 |
| 董事酬勞 | 14,100 | 13,600 |

#### (3) 有關本公司董事會決議通過之員工酬勞及董事酬勞資訊，請至台灣證券交易所「公開資訊觀測站」查詢。

---

### Markdown表格格式

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 短期员工福利 | $2,936,577 | $2,781,751 |
| 退职后福利 | | |
| 确定提拨计划 | 107,977 | 98,483 |
| 确定福利计划 | 1,514 | 2,208 |
| 总计 | 109,491 | 100,691 |
| 股份基础给付 | | |
| 权益交割 | 37,542 | 83,147 |
| 其他员工福利 | 250,843 | 209,255 |
| 员工福利费用合计 | $3,334,453 | $3,174,844 |

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 营业成本 | $752,585 | $769,307 |
| 营业费用 | 2,581,868 | 2,405,537 |
| 总计 | $3,334,453 | $3,174,844 |

| 项目 | 111年度 | 110年度 |
|------|--------|--------|
| 员工酬勞 | $740,000 | $600,000 |
| 董事酬勞 | 14,100 | 13,600 |
