### 财务报告分析

#### 3. 与租赁合约有关之损益项目资讯如下：

| 项目 | 111年1至3月 | 110年1至3月 |
|------|--------------|--------------|
| 影响当期损益之项目 | | |
| 租赁负债之利息费用 | $8,629 | $7,429 |
| 属短期租赁合约之费用 | 54,978 | 46,934 |
| 属低价值资产租赁之费用 | 1,973 | 709 |
| 租赁修改损(益) | (74) | 35 |

#### 4. 本集团於民国111年及110年1至3月租赁现金流出总额分别为$204,671及$175,260。

#### (十二) 無形资产

| 项目 | 商標權 | 電腦軟體 | 商譽 | 其他 | 合計 |
|------|--------|--------|------|------|------|
| 111年1月1日 | | | | | |
| 成本 | $355,103 | $2,500,695 | $1,163,497 | $941,480 | $4,960,775 |
| 累計攤銷及減損 | | | | | |
| | (2,053,622) | (31,599) | (685,792) | (2,771,013) | |
| | $355,103 | $447,073 | $1,131,898 | $255,688 | $2,189,762 |
| 111年1月1日 | | | | | |
| 取得 | | | | | |
| | $355,103 | $447,073 | $1,131,898 | $255,688 | $2,189,762 |
| 攤銷及減損 | | | | | |
| | (72,637) | | (4,983) | (77,620) | |
| 重分類 | | | | | |
| | 3,837 | | | | |
| 匯率影響數 | | | | | |
| | | 17 | | |
| 111年3月31日 | | | | | |
| | $355,103 | $437,533 | $1,131,898 | $258,717 | $2,183,251 |

| 项目 | 商標權 | 電腦軟體 | 商譽 | 其他 | 合計 |
|------|--------|--------|------|------|------|
| 111年3月31日 | | | | | |
| 成本 | $355,103 | $2,571,048 | $1,163,497 | $860,466 | $4,950,114 |
| 累計攤銷及減損 | | | | | |
| | (2,133,515) | (31,599) | (601,749) | (2,766,863) | |
| | $355,103 | $437,533 | $1,131,898 | $258,717 | $2,183,251 |

| 项目 | 商標權 | 電腦軟體 | 商譽 | 其他 | 合計 |
|------|--------|--------|------|------|------|
| 110年1月1日 | | | | | |
| 成本 | $355,103 | $2,264,655 | $1,163,497 | $933,400 | $4,716,655 |
| 累計攤銷及減損 | | | | | |
| | (1,895,880) | | | (2,534,209) | |
| | $355,103 | $368,775 | $1,163,497 | $295,071 | $2,182,446 |
| 110年1月1日 | | | | | |
| 取得 | | | | | |
| | $355,103 | $368,775 | $1,163,497 | $295,071 | $2,182,446 |
| 攤銷及減損 | | | | | |
| | (63,687) | | (19,042) | (82,729) | |
| 重分類 | | | | | |
| | (6,789) | | | | |
| 匯率影響數 | | | | | |
| | | (367) | | (1,729) | |
| 110年3月31日 | | | | | |
| | $355,103 | $319,799 | $1,163,497 | $274,300 | $2,112,699 |

| 项目 | 商標權 | 電腦軟體 | 商譽 | 其他 | 合計 |
|------|--------|--------|------|------|------|
| 110年3月31日 | | | | | |
| 成本 | $355,103 | $2,280,961 | $1,163,497 | $828,427 | $4,627,988 |
| 累計攤銷及減損 | | | | | |
| | (1,961,162) | | | (554,127) | (2,515,289) |
| | $355,103 | $319,799 | $1,163,497 | $274,300 | $2,112,699 |
