根据提供的图像，以下是从PDF财务报告中提取的文本和表格信息：

### 文本内容
```
保留結論

依本會計師核閱結果，除保留結論之基礎段所述部分非重要子公司之財務報表尚經會計師核閱，對合併財務報表可能有所調整之影響外，並未發現上開合併財務報表在所有重大方面有未依照證券發行人財務報告編製準則及經金融監督管理委員會認可並發布生效之國際會計準則第 34 號「期中財務報導」編製，致無法允當表達台灣水泥股份有限公司及子公司民國 112 年及 111 年 3 月 31 日之合併財務狀況，暨民國 112 年及 111 年 1 月 1 日至 3 月 31 日之合併財務績效及合併現金流量之情事。
```

### Markdown表格格式
```
| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 庫存现金 | $ 1,777 | $ 1,750 | $ 2,137 |
| 活期存款 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |
```

### 时间列识别
- 时间列：112年3月31日、111年12月31日、111年3月31日

### 数据排序和结构化
- 从左到右逐列遍历表格。
- 将文本下划线视为列项目分隔符。
- 根据每个单元格的列和行标题对数据进行排序和关联。
- 将空单元格或含有'-'的单元格转换为0。

### 特殊字符识别
- 如果单元格的值包含'$'且有下划线，将其行标记为"总计"（使用中文）。

### 数据完整性
- 确保所有提取的数据与相应的标题准确对齐，并保持一致性。

### 输出格式
- 文本输出：提供为纯文本。
- 表格数据输出：
  - 以Markdown表格格式呈现。
  - 使用时间列作为列标题。
  - 数据按时间顺序从左到右排列。
  - 保持原始表格的行结构。
