### 财务报告

#### 流动资产
| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 现金及约当现金 | $18,873,559 | $25,813,580 | $15,063,055 |
| 透过损益按公允价值衡量之金融资产－流动 | 4,860,674 | 7,759,202 | 8,453,239 |
| 透过其他综合损益按公允价值衡量之金融资产－流动 | 241,713 | 322,124 | 82,194 |
| 避险之金融资产 | 232,491 | - | - |
| 其他金融资产－流动 | 3,008,924 | 2,794,794 | 2,523,993 |
| 合约资产－流动 | 28,474 | 29,094 | 25,395 |
| 应收票据 | 12,589,816 | 10,731,037 | 11,559,638 |
| 应收帐款 | 212,645,374 | 179,803,972 | 168,002,709 |
| 其他应收款 | 2,071,069 | 1,492,994 | 1,558,918 |
| 存货 | 12,040,395 | 10,014,885 | 8,309,680 |
| 预付款项 | 9,377,790 | 8,431,594 | 8,736,404 |
| 待出售资产 | 15,443 | - | - |
| 再保险合约资产净额 | 3,005,269 | 2,396,571 | 2,146,075 |
| 流动资产总计 | 278,990,991 | 249,589,847 | 226,461,300 |

#### 非流动资产
| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 透过损益按公允价值衡量之金融资产－非流动 | 1,002,836 | 1,035,718 | 1,038,055 |
| 透过其他综合损益按公允价值衡量之金融资产－非流动 | 8,353,196 | 10,592,876 | 10,641,369 |
| 接受权益法之投资 | 18,385,209 | 17,336,071 | 17,111,204 |
| 其他金融资产－非流动 | 357,395 | 143,910 | 142,308 |
| 不动产、厂房及设备净额 | 58,095,058 | 53,619,235 | 52,436,116 |
| 使用权资产 | 3,377,305 | 3,436,960 | 3,375,382 |
| 投资性不流动资产净额 | 3,083,826 | 2,531,683 | 2,537,478 |
| 無形资产净额 | 183,834 | 1,297,739 | 1,297,435 |
| 遐延所得税资产净额 | 4,005,960 | 1,975,833 | 1,959,797 |
| 其他资产 | 10,925,505 | 8,052,912 | 7,479,944 |
| 非流动资产总计 | 107,770,124 | 100,022,937 | 98,019,088 |

#### 资产总计
| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 资产总计 | $386,761,115 | $349,612,784 | $324,480,388 |

---

### 续次页
