### 财务报告

#### 1. 资产负债表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金及现金等价物 | $ 1,777 | $ 1,750 | $ 2,137 |
| 活期存款 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 2. 利润表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 销售收入 | $ 1,777 | $ 1,750 | $ 2,137 |
| 成本费用 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 3. 现金流量表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 经营活动产生的现金流量净额 | $ 1,777 | $ 1,750 | $ 2,137 |
| 投资活动产生的现金流量净额 | 25,699,639 | 33,243,220 | 39,578,483 |
| 筹资活动产生的现金流量净额 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 4. 股东权益变动表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 股本 | $ 1,777 | $ 1,750 | $ 2,137 |
| 资本公积 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 5. 附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 附注一 | $ 1,777 | $ 1,750 | $ 2,137 |
| 附注二 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 6. 附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 附注三 | $ 1,777 | $ 1,750 | $ 2,137 |
| 附注四 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 7. 附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 附注五 | $ 1,777 | $ 1,750 | $ 2,137 |
| 附注六 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 8. 附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 附注七 | $ 1,777 | $ 1,750 | $ 2,137 |
| 附注八 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 9. 附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 附注九 | $ 1,777 | $ 1,750 | $ 2,137 |
| 附注十 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 10. 附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 附注十一 | $ 1,777 | $ 1,750 | $ 2,137 |
| 附注十二 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 11. 附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 附注十三 | $ 1,777 | $ 1,750 | $ 2,137 |
| 附注十四 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 12. 附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 附注十五 | $ 1,777 | $ 1,750 | $ 
