### 财务报告

#### 合并综合损益表
单位：新台币仟元
（除每股盈余为新台币元外）

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|------------------|------------------|------------------|------------------|
| 8311 确定福利计划之再衡量数 | ($ 1,464) | - | $ 27,704 | - |
| 8316 透过其他综合损益按公允价值衡量之权益工具 | - | - | - | - |
| 8317 投资未实现评价损益 | - | - | - | - |
| 8318 避险工具之损益－不重分类至损益 | - | - | - | - |
| 8349 與不重分类之项目相關之所得税 | - | - | - | - |
| 8310 不重分类至损益之项目總額 | ($ 423,914) | - | ($ 41,417) | - |
| 8361 國外營運機構財務報表換算之兌換差額 | 7,336,842 | 7 | 10,481,388 | 10 |
| 8370 採用權益法認列之關聯企業及合資之其他綜合損益之份額－可能重分類至損益之項目 | - | - | - | - |
| 8399 與可能重分類之項目相關之所得稅 | - | - | - | - |
| 8360 後續可能重分類至損益之項目總額 | 6,943,397 | 6 | 9,959,868 | 9 |
| 8300 其他綜合損益（淨額） | $ 6,519,483 | 6 | $ 9,918,451 | 9 |
| 8500 本期綜合損益總額 | $ 17,549,231 | 16 | $ 22,140,221 | 21 |
| 淨利歸屬於： | | | | |
| 8610 母公司業主 | $ 9,362,504 | 9 | $ 11,068,908 | 11 |
| 8620 非控制權益 | $ 1,667,244 | 1 | $ 1,152,862 | 1 |
| 綜合損益總額歸屬於： | | | | |
| 8710 母公司業主 | $ 14,801,791 | 14 | $ 19,239,731 | 18 |
| 8720 非控制權益 | $ 2,747,440 | 2 | $ 2,900,850 | 3 |
| 基本每股盈餘 | | | | |
| 9750 基本每股盈餘 | $ 3.60 | $ 4.26 | $ 9.40 | $ 9.53 |
| 稀释每股盈餘 | | | | |
| 9850 稀释每股盈餘 | $ 3.59 | $ 4.25 | $ 9.37 | $ 9.49 |

#### 董事長：海英俊
#### 經理人：鄭平
#### 會計主管：余博文

---

**后附合併財務報表附註為本合併財務報告之一部分，請併同參閱。**

---

**注意：** 以上内容为示例，实际输出应根据提取的财务报告内容进行调整。
