### 财务报告分析

#### 1. 透过损益按公允价值衡量之金融资产及负债

| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 流动项目 | | | |
| 强制透过损益按公允价值衡量 | | | |
| 之金融资产 | | | |
| 上市柜公司股票 | $612,205 | $506,938 | $365,378 |
| 财汇公司股票 | 4,621 | - | - |
| 衍生工具 | 232,389 | 125,070 | 190,905 |
| 混合工具-可转换公司债 | 28,015 | 28,015 | 34,398 |
| 评价调整 | 877,230 | 660,023 | 590,681 |
| 账面价值 | 527,417 | 425,706 | 342,244 |
| 总计 | $1,404,647 | $1,085,729 | $932,925 |
| 非流动项目 | | | |
| 强制透过损益按公允价值衡量 | | | |
| 之金融资产 | | | |
| 上市柜公司股票 | $279,571 | $314,543 | $368,048 |
| 财汇公司股票 | 416,300 | 308,300 | 324,000 |
| 非上市、上柜、财汇公司 | | | |
| 股票 | 1,375,878 | 1,568,229 | 1,489,792 |
| 可转换特别股 | 197,148 | 197,148 | 197,148 |
| 混合工具-可转换公司债 | 913,399 | 900,000 | 900,000 |
| 评价调整 | 3,182,296 | 3,288,220 | 3,278,988 |
| 账面价值 | (104,158) | 63,578 | (31,667) |
| 总计 | $3,078,138 | $3,351,798 | $3,247,321 |
| 负债 | | | |
| 持有供交易之金融负债 | | | |
| 衍生工具 | $56,377 | $41,371 | $209,728 |

#### 2. 透过损益按公允价值衡量之金融资产及负债

1. 民国111年及110年1月1日至3月31日，本集团认列之透过损益按公允价值衡量之金融资产及负债利益分别为$68,115及$77,965。
2. 本集团承作未适用避险会计之衍生性金融资产及负债之交易及合约资讯说明如下：

---

### Markdown表格格式

| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 流动项目 | | | |
| 强制透过损益按公允价值衡量 | | | |
| 之金融资产 | | | |
| 上市柜公司股票 | $612,205 | $506,938 | $365,378 |
| 财汇公司股票 | 4,621 | - | - |
| 衍生工具 | 232,389 | 125,070 | 190,905 |
| 混合工具-可转换公司债 | 28,015 | 28,015 | 34,398 |
| 评价调整 | 877,230 | 660,023 | 590,681 |
| 账面价值 | 527,417 | 425,706 | 342,244 |
| 总计 | $1,404,647 | $1,085,729 | $932,925 |
| 非流动项目 | | | |
| 强制透过损益按公允价值衡量 | | | |
| 之金融资产 | | | |
| 上市柜公司股票 | $279,571 | $314,543 | $368,048 |
| 财汇公司股票 | 416,300 | 308,300 | 324,000 |
| 非上市、上柜、财汇公司 | | | |
| 股票 | 1,375,878 | 1,568,229 | 1,489,792 |
| 可转换特别股 | 197,148 | 197,148 | 197,148 |
| 混合工具-可转换公司债 | 913,399 | 900,000 | 900,000 |
| 评价调整 | 3,182,296 | 3,288,220 | 3,278,988 |
| 账面价值 | (104,158) | 63,578 | (31,667) |
| 总计 | $3,078,138 | $3,351,798 | $3,247,321 |
| 负债 | | | |
| 持有供交易之金融负债 | | | |
| 衍生工具 | $56,377 | $41,371 | $209,728 |
