根据提供的图像，以下是提取的文本和表格信息：

### 文本内容
（承前页）
（接次页）

### 表格数据
| 關係人名稱 | 與合併公司之關係 |
|------------|------------------|
| 王道商業銀行股份有限公司 | 合併公司為其主要管理階層 |
| 泛亞工程股份有限公司 | 合併公司為其主要管理階層 |
| 中鼎工程股份有限公司（中鼎工程） | 合併公司為其主要管理階層 |
| 飛宏科技股份有限公司（自 111 年 6 月起為關係人） | 合併公司為其主要管理階層 |
| 馳諾瓦科技股份有限公司 | 合併公司為其母公司之主要管理階層 |
| 聯鋼開發股份有限公司 | 合併公司為其母公司之主要管理階層 |
| 萬鼎工程服務股份有限公司（萬鼎工程） | 合併公司為其母公司之主要管理階層 |
| 益鼎工程股份有限公司（益鼎工程） | 合併公司為其母公司之主要管理階層 |
| 中信投資股份有限公司 | 主要管理階層相同 |
| 協原化學股份有限公司 | 主要管理階層相同 |
| 中橡（馬鞍山）化學工業有限公司 | 主要管理階層相同 |
| 中橡（鞍山）化學工業有限公司 | 主要管理階層相同 |
| 財團法人劍潭古寺 | 主要管理階層相同 |
| 中橡（重慶）碳黑有限公司 | 主要管理階層相同 |
| 財團法人辜嚴倬雲植物保種暨環境保護發展基金會 | 主要管理階層相同 |
| 財團法人花蓮縣私立和平永續慈善事業基金會 | 主要管理階層相同 |
| Continental Carbon India Ltd. | 主要管理階層相同 |
| Continental Carbon Eco Technology Private Limited | 主要管理階層相同 |
| 林園先進材料科技股份有限公司 | 主要管理階層相同 |
| 富品投資股份有限公司 | 主要管理階層相同 |
| 興城投資股份有限公司 | 主要管理階層相同 |
| FCA AUSTRIA GMBH | 實質關係人 |
| FCA BELGIUM S.A. | 實質關係人 |
| FCA GERMANY A.G. | 實質關係人 |
| FCA SWITZERLAND S.A. | 實質關係人 |
| GROUPE PSA ITALIA S.P.A. | 實質關係人 |
| LEASYS RENT S.P.A. | 實質關係人 |
| FIAT CHRYSLER AUTOMOBILES ITALY S.P.A. | 實質關係人 |
| Fiat Chrysler Automobiles N.V. | 實質關係人 |
| LEASYS S.P.A. | 實質關係人 |

### Markdown表格格式
```markdown
| 關係人名稱 | 與合併公司之關係 |
|------------|------------------|
| 王道商業銀行股份有限公司 | 合併公司為其主要管理階層 |
| 泛亞工程股份有限公司 | 合併公司為其主要管理階層 |
| 中鼎工程股份有限公司（中鼎工程） | 合併公司為其主要管理階層 |
| 飛宏科技股份有限公司（自 111 年 6 月起為關係人） | 合併公司為其主要管理階層 |
| 馳諾瓦科技股份有限公司 | 合併公司為其母公司之主要管理階層 |
| 聯鋼開發股份有限公司 | 合併公司為其母公司之主要管理階層 |
| 萬鼎工程服務股份有限公司（萬鼎工程） | 合併公司為其母公司之主要管理階層 |
| 益鼎工程股份有限公司（益鼎工程） | 合併公司為其母公司之主要管理階層 |
| 中信投資股份有限公司 | 主要管理階層相同 |
| 協原化學股份有限公司 | 主要管理階層相同 |
| 中橡（馬鞍山）化學工業有限公司 | 主要管理階層相同 |
| 中橡（鞍山）化學工業有限公司 | 主要管理階層相同 |
| 財團法人劍潭古寺 | 主要管理階層相同 |
| 中橡（重慶）碳黑有限公司 | 主要管理階層相同 |
| 財團法人辜嚴倬雲植物保種暨環境保護發展基金會 | 主要管理階層相同 |
| 財團法人花蓮縣私立和平永續慈善事業基金會 | 主要管理階層相同 |
| Continental Carbon India Ltd. | 主要管理階層相同 |
| Continental Carbon Eco Technology Private Limited | 主要管理階層相同 |
| 林園先進材料科技股份有限公司 | 主要管理階層相同 |
| 富品投資股份有限公司 | 主要管理階層相同 |
| 興城投資股份有限公司 | 主要管理階層相同 |
| FCA AUSTRIA GMBH | 實質關係人 |
| FCA BELGIUM S.A. | 實質關係人 |
| FCA GERMANY A.G. | 實質關係人 |
| FCA SWITZERLAND S.A. | 實質關係人 |
| GROUPE PSA ITALIA S.P.A. | 實質關係人 |
| LEASYS RENT S.P.A. | 實質關係人 |
| FIAT CHRYSLER AUTOMOBILES ITALY S.P.A. | 實質關係人 |
| Fiat Chrysler Automobiles N.V. | 實質關係人 |
| LEASYS S.P.A. | 實質關係人 |
```

请注意，上述表格数据是根据提供的图像内容生成的，可能不完全准确。在实际应用中，建议对数据进行进一步验证和校正。
