### 财务报告

#### 合并现金流量表
**单位：新台币仟元**

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 附注 |                       |                       |
| **营业活动之现金流量** |                       |                       |
| 本期税前净利 | $6,618,765 | $7,329,040 |
| **调整项目** |                       |                       |
| **收益费用项目** |                       |                       |
| 透过损益按公允价值衡量之金融资产及负债之 | 六(二) | 六(二) |
| 损益 | (130,930) | (637,936) |
| 财务费用 | 3,798 | 12,920 |
| 投资之预期信用减损损失(回转利益) | 27 | 11 |
| 非投资之预期信用减损损失 | 421,618 | 293,186 |
| 接用覆盖法重分类之损益 | (252,580) | 62,909 |
| 折旧费用 | 六(十一)(十二) | (十四)(三十一) |
| (2,812,077) | 2,560,182 |
| 摊销费用 | 六(三十一) | 29,907 |
| 出租资产减损损失 | 六(十一) | 9,573 |
| 租赁修改利益 | 六(十二) | - |
| 处分不动产、厂房及设备利益 | (4,358) | (9,552) |
| 接用权益法认列之关联企业利益之份额 | 六(十) | (437,487) |
| 利息费用 | 566,737 | 459,933 |
| 利息收入 | 六(二十九) | (3,679,901) |
| 股利收入 | (24,650) | 16,894 |
| 未实现销售利益 | 44,801 | 71,765 |
| 已实现销售利益 | (66,381) | 44,478 |
| 兑换损益 | 35,148 | 6,946 |
| **与经营活动相关之资产/负债变动数** |                       |                       |
| **与经营活动相关之资产之变动** |                       |                       |
| 透过损益按公允价值衡量之金融资产 | (285,567) | (611,986) |
| 合约资产 | 3,637 | 807 |
| 应收票据及帐款 | (11,296,514) | (10,408,598) |
| 其他应收款 | (112,722) | (270) |
| 存货 | 2,560,659 | 3,436,649 |
| 预付款项 | (771,358) | 135,169 |
| 再保险合约资产 | (302,720) | (370,702) |
| **与经营活动相关之负债之变动** |                       |                       |
| 透过损益按公允价值衡量之金融负债 | (16,124) | (55,742) |
| 合约负债 | 47,090 | 146,055 |
| 应付票据及帐款 | 631,960 | 8,231 |
| 应付费用 | (755,370) | (609,636) |
| 其他应付款 | 251,469 | 55,539 |
| 应付佣金 | (19,716) | 14,733 |
| 应付再保往来款项 | 238,246 | 189,658 |
| 应付保险赔款与给付 | (9,719) | 14,698 |
| 预收款项 | (56,178) | (128,475) |
| 其他流动负债 | 1,033,593 | 898,198 |
| 负债准备 | 368,030 | 496,902 |
| 其他负债 | (7) | (10) |
| **营运产生之现金流出** |                       |                       |
| 收取现金股利 | (2,545,147) | (541,876) |
| 支付之所得税 | 24,650 | 16,894 |
| 支付之利息 | (163,593) | (180,950) |
| 收取之利息 | 3,671,528 | 2,839,727 |
| 支付之利息 | (525,251) | (395,756) |
| **营业活动之净现金流入** |                       |                       |
| 462,187 | 1,738,039 |

---

**续次页**
