### 财务报告图像处理输出

#### 文本输出
台湾水泥股份有限公司及子公司
合併现金流量表
民國112年及111年1月1日至3月31日
（僅經核閱，未依審計準則查核）
單位：新台幣仟元

#### 表格数据输出
| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| A10000 | 本期稅前淨利 | $ 1,480,889 | $ 1,172,111 |
| A20100 | 折舊費用 | 2,016,408 | 1,738,037 |
| A20200 | 搬銷費用 | 252,346 | 205,524 |
| A20400 | 透過損益按公允價值衡量金融資產及負債之淨損（益） | (311,852) | 242,231 |
| A20900 | 財務成本 | 829,265 | 525,210 |
| A21200 | 利息收入 | (741,718) | (372,039) |
| A21300 | 股利收入 | - | (405,293) |
| A22300 | 採用權益法認列之關聯企業及合資淨益之份額 | (1,004,735) | (622,247) |
| A22500 | 處分不動產、廠房及設備淨損（益） | 14,075 | (37,346) |
| A23100 | 處分投資損失 | - | 16 |
| A23800 | 存貨跌價回升利益 | (76,196) | (17,939) |
| A24100 | 未實現外幣兌換淨損（益） | 2,228 | (16,152) |
| A30000 | 營業資產及負債之淨變動數 | | |
| A31115 | 強制透過損益按公允價值衡量之金融資產 | (7,527) | - |
| A31130 | 應收票據 | 1,567,176 | 3,585,239 |
| A31150 | 應收帳款 | 2,534,276 | (466,617) |
| A31160 | 應收票據及帳款－關係人 | 128,118 | 131,668 |
| A31180 | 其他應收款 | 338,718 | 456,473 |
| A31190 | 其他應收款－關係人 | 129,868 | 98,672 |
| A31200 | 存貨 | 287,959 | 248,942 |
| A31230 | 預付款項 | (2,529,040) | (1,440,367) |
| A31240 | 其他流動資產 | (16,695) | (8,651) |
| A32125 | 合約負債 | 1,001,915 | (103,140) |
| A32150 | 應付票據及帳款 | 606,423 | 885,579 |
| A32180 | 其他應付款 | 564,547 | (1,168,913) |

#### 表格数据结构化
| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| A10000 | 本期稅前淨利 | $ 1,480,889 | $ 1,172,111 |
| A20100 | 折舊費用 | 2,016,408 | 1,738,037 |
| A20200 | 搬銷費用 | 252,346 | 205,524 |
| A20400 | 透過損益按公允價值衡量金融資產及負債之淨損（益） | (311,852) | 242,231 |
| A20900 | 財務成本 | 829,265 | 525,210 |
| A21200 | 利息收入 | (741,718) | (372,039) |
| A21300 | 股利收入 | - | (405,293) |
| A22300 | 採用權益法認列之關聯企業及合資淨益之份額 | (1,004,735) | (622,247) |
| A22500 | 處分不動產、廠房及設備淨損（益） | 14,075 | (37,346) |
| A23100 | 處分投資損失 | - | 16 |
| A23800 | 存貨跌價回升利益 | (76,196) | (17,939) |
| A24100 | 未實現外幣兌換淨損（益） | 2,228 | (16,152) |
| A30000 | 營業資產及負債之淨變動數 | | |
| A31115 | 強制透過損益按公允價值衡量之金融資產 | (7,527) | - |
| A31130 | 應收票據 | 1,567,176 | 3,585,239 |
| A31150 | 應收帳款 | 2,534,276 | (466,617) |
| A31160 | 應收票據及帳款－關係人 | 128,118 | 131,668 |
| A31180 | 其他應收款 | 338,718 | 456,473 |
| A31190 | 其他應收款－關係人 | 129,868 | 98,672 |
| A31200 | 存貨 | 287,959 | 248,942 |
| A31230 | 預付款項 | (2,529,040) | (1,440,367) |
| A31240 | 其他流動資產 | (16,695) | (8,651) |
| A32125 | 合約負債 | 1,001,915 | (103,140) |
| A32150 | 應付票據及帳款 | 606,423 | 885,579 |
| A32180 | 其他應付款 | 564,547 | (1,168,913) |

#### 特殊字符处理
- 总计：在表格中，标记为"总计"（使用中文）。

#### 数据完整性
- 确保所有提取的数据与相应的标题准确对齐，并保持一致性。
