### (十一) 無形資産

| 项目 | 111年1月1日 | 111年 | 111年3月31日 |
|------|--------------|------|--------------|
| 商標權 | $ 4,072,330 | $ 2,674,688 | $ 4,176,002 |
| 專利權 | $ 1,590,408 | $ 187,207 | $ 1,598,246 |
| 商譽 | $ 54,420,933 | $ 53,635,766 | $ 56,012,191 |
| 客戶關係 | $ 18,089,972 | $ 8,572,439 | $ 18,629,027 |
| 専門技術 | $ 11,152,791 | $ 7,024,450 | $ 11,440,122 |
| 其他 | $ 5,241,533 | $ 1,515,014 | $ 5,641,778 |
| 合計 | $ 94,567,967 | $ 73,609,564 | $ 97,497,366 |

| 项目 | 111年1月1日 | 111年 | 111年3月31日 |
|------|--------------|------|--------------|
| 成本 | $ 4,072,330 | $ 1,397,642 | $ 1,506,356 |
| 累計攤銷及減損 | $ 1,590,408 | $ 1,403,201 | $ 1,428,364 |
| 商標權 | $ 54,420,933 | $ 785,167 | $ 812,283 |
| 專利權 | $ 18,089,972 | $ 9,517,533 | $ 10,129,330 |
| 商譽 | $ 11,152,791 | $ 4,128,341 | $ 4,455,454 |
| 客戶關係 | $ 5,241,533 | $ 3,726,519 | $ 4,002,562 |
| 専門技術 | $ 20,958,403 | $ 2,095,8403 | $ 22,334,349 |
| 其他 | $ 94,567,967 | $ 73,609,564 | $ 97,497,366 |

| 项目 | 111年1月1日 | 111年 | 111年3月31日 |
|------|--------------|------|--------------|
| 成本 | $ 4,072,330 | $ 1,397,642 | $ 1,506,356 |
| 累計攤銷及減損 | $ 1,590,408 | $ 1,403,201 | $ 1,428,364 |
| 商標權 | $ 54,420,933 | $ 785,167 | $ 812,283 |
| 專利權 | $ 18,089,972 | $ 9,517,533 | $ 10,129,330 |
| 商譽 | $ 11,152,791 | $ 4,128,341 | $ 4,455,454 |
| 客戶關係 | $ 5,241,533 | $ 3,726,519 | $ 4,002,562 |
| 専門技術 | $ 20,958,403 | $ 2,095,8403 | $ 22,334,349 |
| 其他 | $ 94,567,967 | $ 73,609,564 | $ 97,497,366 |

| 项目 | 111年1月1日 | 111年 | 111年3月31日 |
|------|--------------|------|--------------|
| 成本 | $ 4,072,330 | $ 1,397,642 | $ 1,506,356 |
| 累計攤銷及減損 | $ 1,590,408 | $ 1,403,201 | $ 1,428,364 |
| 商標權 | $ 54,420,933 | $ 785,167 | $ 812,283 |
| 專利權 | $ 18,089,972 | $ 9,517,533 | $ 10,129,330 |
| 商譽 | $ 11,152,791 | $ 4,128,341 | $ 4,455,454 |
| 客戶關係 | $ 5,241,533 | $ 3,726,519 | $ 4,002,562 |
| 専門技術 | $ 20,958,403 | $ 2,095,8403 | $ 22,334,349 |
| 其他 | $ 94,567,967 | $ 73,609,564 | $ 97,497,366 |

| 项目 | 111年1月1日 | 111年 | 111年3月31日 |
|------|--------------|------|--------------|
| 成本 | $ 4,072,330 | $ 1,397,642 | $ 1,506,356 |
| 累計攤銷及減損 | $ 1,590,408 | $ 1,403,201 | $ 1,428,364 |
| 商標權 | $ 54,420,933 | $ 785,167 | $ 812,283 |
| 專利權 | $ 18,089,972 | $ 9,517,533 | $ 10,129,330 |
| 商譽 | $ 11,152,791 | $ 4,128,341 | $ 4,455,454 |
| 客戶關係 | $ 5,241,533 | $ 3,726,519 | $ 4,002,562 |
| 専門技術 | $ 20,958,403 | $ 2,095,8403 | $ 22,334,349 |
| 其他 | $ 94,567,967 | $ 73,609,564 | $ 97,497,366 |

| 项目 | 111年1月1日 | 111年 | 111年3月31日 |
|------|--------------|------|--------------|
| 成本 | $ 4,072,330 | $ 1,397,642 | $ 1,506,356 |
| 累計攤銷及減損 | $ 1,590,408 | $ 1,403,201 | $ 1,428,364 |
| 商標權 | $ 54,420,933 | $ 785,167 | $ 812,283 |
| 專利權 |
