### 财务报告分析

#### 111年9月30日

| 项目 | 金额（万元） | 金额（万元） | 金额（万元） |
|------|--------------|---------------|--------------|
| 现金流量避险 | 12,752 | - | 21,038 |
| 被避险项目 | - | 12,752 | - |

#### 110年12月31日

| 项目 | 金额（万元） | 金额（万元） | 金额（万元） |
|------|--------------|---------------|--------------|
| 现金流量避险 | - | 8,286 | - |
| 被避险项目 | 10,038 | - | - |

### 总计

| 项目 | 金额（万元） | 金额（万元） | 金额（万元） |
|------|--------------|---------------|--------------|
| 现金流量避险 | 12,752 | 8,286 | 21,038 |
| 被避险项目 | 10,038 | 12,752 | - |

### 结论

从财务报告中可以看出，111年9月30日和110年12月31日的现金流量避险金额分别为12,752万元和8,286万元，被避险项目金额分别为21,038万元和10,038万元。总计来看，现金流量避险金额为21,038万元，被避险项目金额为31,038万元。
