### 财务报告

#### 流动资产
| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 现金及约当现金 | $ 391,797,771 | $ 107,792,396 | $ 98,043,087 |
| 透过损益按公允价值衡量之金融资产 - 流动 | - | 44,999 | 60,999 |
| 按摊销后成本衡量之金融资产 - 流动 | 16,036,510 | 93,229,679 | 28,349,180 |
| 避险之金融资产 - 流动 | 9,560,974 | 23,026,075 | 26,432,707 |
| 合约资产 - 流动 | 3,536,071 | 4,525,961 | 6,500,080 |
| 应收票据净额 | 207,763 | 357,461 | 458,692 |
| 应收帐款净额 | 36,774,165 | 39,179,692 | 46,200,249 |
| 应收帐款 - 关係人净额 | 2,113,417 | 2,000,706 | 1,489,938 |
| 其他应收款 | 857,576 | 414,772 | 399,670 |
| 其他应收款 - 关係人 | 859,180 | 716,166 | 734,070 |
| 本期所得税资产 | 561,197 | 231,233 | 329,080 |
| 存货 | 8,385,862 | 5,837,528 | 5,389,394 |
| 预付款项 | 1,993,135 | 1,503,356 | 1,572,080 |
| 待出售非流动资产净额 | - | - | 3,962 |
| 其他流动资产 | 3,464,510 | 4,254,969 | 4,726,455 |
| 流动资产合计 | 476,148,131 | 283,114,993 | 220,689,643 |

#### 非流动资产
| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 透过其他综合损益按公允价值衡量之金融资产 - 非流动 | 1,766,928 | 2,123,381 | 1,987,496 |
| 按摊销后成本衡量之金融资产 - 非流动 | 469,165 | 387,519 | 391,682 |
| 避险之金融资产 - 非流动 | 3,309,546 | 1,488,664 | 1,908,225 |
| 採用權益法之投資 | 42,985,081 | 36,418,613 | 33,138,845 |
| 不動產、廠房及設備 - 九、九及九 | 206,737,021 | 153,902,875 | 143,572,939 |
| 使用權資產 | 110,131,683 | 101,109,020 | 94,193,083 |
| 投資性不動產净額 | 6,494,774 | 5,771,084 | 4,867,122 |
| 無形資產 | 1,441,822 | 1,271,120 | 1,341,601 |
| 遲延所得税资产 | 905,493 | 857,248 | 655,592 |
| 其他非流动资产 | 31,183,044 | 24,581,603 | 21,229,531 |
| 非流动资产合计 | 405,424,557 | 327,911,127 | 303,286,116 |

#### 资产总计
| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 资产总计 | $ 881,572,688 | $ 611,026,120 | $ 523,975,759 |

---

(续次页)
