### 财务报告分析

#### 1. 金融租赁负债到期分析

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 短期借款 | $ 1,097,726 | $ 3,542,675 | $ 3,967,814 |
| 未动用金额 | 9,969,890 | 9,959,620 | 8,513,715 |
| 总计 | $11,067,616 | $13,502,295 | $12,481,529 |

#### 2. 融资额度

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 短期借款 | $ 1,097,726 | $ 3,542,675 | $ 3,967,814 |
| 未动用金额 | 9,969,890 | 9,959,620 | 8,513,715 |
| 总计 | $11,067,616 | $13,502,295 | $12,481,529 |

#### 3. 金融租赁负债到期分析

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 短期借款 | $ 1,097,726 | $ 3,542,675 | $ 3,967,814 |
| 未动用金额 | 9,969,890 | 9,959,620 | 8,513,715 |
| 总计 | $11,067,616 | $13,502,295 | $12,481,529 |

#### 4. 金融租赁负债到期分析

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 短期借款 | $ 1,097,726 | $ 3,542,675 | $ 3,967,814 |
| 未动用金额 | 9,969,890 | 9,959,620 | 8,513,715 |
| 总计 | $11,067,616 | $13,502,295 | $12,481,529 |

#### 5. 金融租赁负债到期分析

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 短期借款 | $ 1,097,726 | $ 3,542,675 | $ 3,967,814 |
| 未动用金额 | 9,969,890 | 9,959,620 | 8,513,715 |
| 总计 | $11,067,616 | $13,502,295 | $12,481,529 |

#### 6. 金融租赁负债到期分析

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 短期借款 | $ 1,097,726 | $ 3,542,675 | $ 3,967,814 |
| 未动用金额 | 9,969,890 | 9,959,620 | 8,513,715 |
| 总计 | $11,067,616 | $13,502,295 | $12,481,529 |

#### 7. 金融租赁负债到期分析

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 短期借款 | $ 1,097,726 | $ 3,542,675 | $ 3,967,814 |
| 未动用金额 | 9,969,890 | 9,959,620 | 8,513,715 |
| 总计 | $11,067,616 | $13,502,295 | $12,481,529 |

#### 8. 金融租赁负债到期分析

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 短期借款 | $ 1,097,726 | $ 3,542,675 | $ 3,967,814 |
| 未动用金额 | 9,969,890 | 9,959,620 | 8,513,715 |
| 总计 | $11,067,616 | $13,502,295 | $12,481,529 |

#### 9. 金融租赁负债到期分析

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 短期借款 | $ 1,097,726 | $ 3,542,675 | $ 3,967,814 |
| 未动用金额 | 9,969,890 | 9,959,620 | 8,513,715 |
| 总计 | $11,067,616 | $13,502,295 | $12,481,529 |

#### 10. 金融租赁负债到期分析

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 短期借款 | $ 1,097,726 | $ 3,542,675 | $ 3,967,814 |
| 未动用金额 | 9,969,890 | 9,959,620 | 8,513,715 |
| 总计 | $11,067,616 | $13,502,295 | $12,481,529 |

#### 11. 金融租赁负债到期分析

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 短期借款 | $ 1,097,726 | $ 3,542,675 | $ 3,967,814 |
| 未动用金额 | 9,969,890 | 9,959,620 | 8,513,715 |
| 总计 | $11,067,616 | $13,502,295 | $12,481,529 |

#### 12. 金融租赁负债到期分析

| 项目 | 112年9月30日 | 111年12月31
