### 晶睿
| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|---------------------|---------------------|
| 收入 | $ 2,315,677 | $ 2,567,302 |
| 税前净利 | 155,023 | 224,630 |
| 所得税费用 | (26,179) | (41,054) |
| 级续营业单位本期净利 | 128,844 | 183,576 |
| 其他综合损益（税后净额） | 16,937 | 28,992 |
| 本期综合损益总额 | $ 145,781 | $ 212,568 |
| 综合损益总额归属于非控制权益 | $ 70,568 | $ 95,656 |
| 支付予非控制权益股利 | $ - | $ - |

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|
| 收入 | $ 7,302,489 | $ 6,551,852 |
| 税前净利 | 393,155 | 406,241 |
| 所得税费用 | (50,616) | (63,018) |
| 级续营业单位本期净利 | 342,539 | 343,223 |
| 其他综合损益（税后净额） | 22,264 | 55,062 |
| 本期综合损益总额 | $ 364,803 | $ 398,285 |
| 综合损益总额归属于非控制权益 | $ 168,376 | $ 185,178 |
| 支付予非控制权益股利 | $ 205,923 | $ 52,962 |

### 现金流量表
| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|
| 營業活動之浄現金流入 | $ 10,564,981 | $ 10,496,717 |
| 投資活動之浄現金流出 | (7,788,781) | (4,333,747) |
| 筹資活動之浄現金流出 | (4,663,578) | (2,724,659) |
| 匯率變動對現金及約當現金之影響 | 452,498 | 668,595 |
| 本期現金及約當現金（減少） | (1,434,880) | 4,106,906 |
| 期初現金及約當現金餘額 | 9,068,141 | 5,454,401 |
| 期末現金及約當現金餘額 | $ 7,633,261 | $ 9,561,307 |

### DET
| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|
| 營業活動之浄現金流入 | $ 10,564,981 | $ 10,496,717 |
| 投資活動之浄現金流出 | (7,788,781) | (4,333,747) |
| 筹資活動之浄現金流出 | (4,663,578) | (2,724,659) |
| 匯率變動對現金及約當現金之影響 | 452,498 | 668,595 |
| 本期現金及約當現金（減少） | (1,434,880) | 4,106,906 |
| 期初現金及約當現金餘額 | 9,068,141 | 5,454,401 |
| 期末現金及約當現金餘額 | $ 7,633,261 | $ 9,561,307 |
