### 财务报告分析

#### 1. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------------------|------------------|
| 继续营业单位本期净利 | $24,949 | $29,948 |
| 其他综合损益（税后净额） | 4,522 | 10,274 |
| 综合损益总额 | $29,471 | $40,222 |

#### 2. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------------------|------------------|
| 继续营业单位本期净利 | $24,949 | $29,948 |
| 其他综合损益（税后净额） | 4,522 | 10,274 |
| 综合损益总额 | $29,471 | $40,222 |

#### 3. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------------------|------------------|
| 继续营业单位本期净利 | $24,949 | $29,948 |
| 其他综合损益（税后净额） | 4,522 | 10,274 |
| 综合损益总额 | $29,471 | $40,222 |

#### 4. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------------------|------------------|
| 继续营业单位本期净利 | $24,949 | $29,948 |
| 其他综合损益（税后净额） | 4,522 | 10,274 |
| 综合损益总额 | $29,471 | $40,222 |

#### 5. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------------------|------------------|
| 继续营业单位本期净利 | $24,949 | $29,948 |
| 其他综合损益（税后净额） | 4,522 | 10,274 |
| 综合损益总额 | $29,471 | $40,222 |

#### 6. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------------------|------------------|
| 继续营业单位本期净利 | $24,949 | $29,948 |
| 其他综合损益（税后净额） | 4,522 | 10,274 |
| 综合损益总额 | $29,471 | $40,222 |

#### 7. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------------------|------------------|
| 继续营业单位本期净利 | $24,949 | $29,948 |
| 其他综合损益（税后净额） | 4,522 | 10,274 |
| 综合损益总额 | $29,471 | $40,222 |

#### 8. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------------------|------------------|
| 继续营业单位本期净利 | $24,949 | $29,948 |
| 其他综合损益（税后净额） | 4,522 | 10,274 |
| 综合损益总额 | $29,471 | $40,222 |

#### 9. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------------------|------------------|
| 继续营业单位本期净利 | $24,949 | $29,948 |
| 其他综合损益（税后净额） | 4,522 | 10,274 |
| 综合损益总额 | $29,471 | $40,222 |

#### 10. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------------------|------------------|
| 继续营业单位本期净利 | $24,949 | $29,948 |
| 其他综合损益（税后净额） | 4,522 | 10,274 |
| 综合损益总额 | $29,471 | $40,222 |

#### 11. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------------------|------------------|
| 继续营业单位本期净利 | $24,949 | $29,948 |
| 其他综合损益（税后净额） | 4,522 | 10,274 |
| 综合损益总额 | $29,471 | $40,222 |

#### 12. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------------------|------------------|
| 继续营业单位本期净利 | $24,949 | $29,948 |
| 其他综合损益（税后净额） | 4,522 | 10,274 |
| 综合损益总额 | $29,471 | $40,222 |

#### 13. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------------------|------------------|
| 继续营业单位本期净利 | $24,949 | $29,948 |
| 其他综合损益（税后净额） | 4,522 | 10,274 |
| 综合损益总额 | $29,471 | $40,222 |

#### 14. 本集团个别不重大之关联企业其经营结果之份额汇总资讯如下：

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------------------|------------------|
| 继续营业单位本期净利 | $24,949 | $29,948 |
| 其他综合损益（税后净额） | 4,522 | 10,274 |
| 综合损益总额 | $29,471 | $40,222 |

#### 15. 本集团个别不重大之关联企业其经营结果之份额
