### 财务报告分析

#### 1. 经评估及比较不动产、厂房及设备账面价值及其可回收金额，本集团于民国111年及110年1至3月认列及回转之减损损失分别为$49、$3,668、$46及$0。

#### 2. 以不动产、厂房及设备提供担保之资讯，请详附注八之说明。

#### (十一) 租赁交易—承租人

1. 本集团租赁之标的资产包括房屋及建筑、机器设备、运输设备、杂项设备及土地使用权等，租赁合约之期间通常介于1到50年。租赁合约是采个别协商并包含各种不同的条款及条件，除租赁之资产不得用作借贷担保外，未有加诸其他之限制。

2. 使用权资产

| 项目 | 111年1月1日 | 111年3月31日 |
|------|--------------|--------------|
| 房屋及建筑 | $1,024,577 | $969,853 |
| 机器设备 | $386,183 | $363,466 |
| 运输设备 | $17,964 | $24,184 |
| 杂项设备 | $2,860 | $2,642 |
| 土地使用权 | $290,220 | $298,015 |
| 合计 | $1,721,804 | $1,658,160 |

| 项目 | 110年1月1日 | 110年3月31日 |
|------|--------------|--------------|
| 房屋及建筑 | $917,667 | $917,495 |
| 机器设备 | $28,664 | $28,496 |
| 运输设备 | $3,308 | $3,566 |
| 杂项设备 | $844 | $5,803 |
| 土地使用权 | $289,967 | $285,582 |
| 合计 | $1,240,450 | $1,240,942 |

### 结论
根据提供的财务报告分析，本集团在租赁交易中承租的使用权资产在111年1月1日和111年3月31日的账面价值分别为$1,721,804和$1,658,160。在110年1月1日和110年3月31日的账面价值分别为$1,240,450和$1,240,942。这些数据反映了租赁资产在租赁期间的使用情况和价值变动。
