### 111年9月30日

| 项目 | 未逾期 | 逾期30天以下 | 逾期31~60天 | 逾期61~90天 | 逾期91~120天 | 逾期121~180天 | 逾期180天以上 | 合计 |
|------|--------|--------------|-------------|-------------|--------------|----------------|--------------|------|
| 预期信用损失率（注1） | 0%~1% | 1%~21% | 2%~63% | 10%~80% | 25%~90% | 46%~96% | 100% | 17,204,802 |
| 总账面金额 | $16,010,531 | $285,371 | $104,692 | $74,147 | $78,948 | $46,462 | $604,651 | $17,204,802 |
| 坏账损失（存续期间预期信用损失） | (____ 48,001) | (____ 20,261) | (____ 19,140) | (____ 20,556) | (____ 36,153) | (____ 18,597) | (____ 604,651) | (____ 767,359) |
| 撤销后成本 | $15,962,530 | $265,110 | $85,552 | $53,591 | $42,795 | $27,865 | $____ - | $16,437,443 |

| 项目 | 未逾期 | 逾期30天以下 | 逾期31~60天 | 逾期61~90天 | 逾期91~120天 | 逾期121~180天 | 逾期180天以上 | 合计 |
|------|--------|--------------|-------------|-------------|--------------|----------------|--------------|------|
| 预期信用损失率（注2） | 0%~5% | 5% | 10% | 30% | 50% | 80% | 100% | 3,428,979 |
| 总账面金额 | $2,737,775 | $74,635 | $20,094 | $18,694 | $9,281 | $522 | $567,978 | $3,428,979 |
| 坏账损失（存续期间预期信用损失） | (____ 2,815) | (____ 7,134) | (____ 2,952) | (____ 5,608) | (____ 4,640) | (____ 470) | (____ 567,978) | (____ 591,597) |
| 撤销后成本 | $2,734,960 | $67,501 | $17,142 | $13,086 | $4,641 | $52 | $____ - | $2,837,382 |

### 110年12月31日

| 项目 | 未逾期 | 逾期30天以下 | 逾期31~60天 | 逾期61~90天 | 逾期91~120天 | 逾期121~180天 | 逾期180天以上 | 合计 |
|------|--------|--------------|-------------|-------------|--------------|----------------|--------------|------|
| 预期信用损失率（注1） | 0%~1% | 1%~22% | 3%~62% | 11%~80% | 25%~90% | 49%~97% | 100% | 17,484,264 |
| 总账面金额 | $16,359,992 | $258,575 | $53,466 | $14,739 | $5,663 | $2,577 | $____ - | $16,695,012 |
| 坏账损失（存续期间预期信用损失） | (____ 50,733) | (____ 23,465) | (____ 28,596) | (____ 29,800) | (____ 25,402) | (____ 28,423) | (____ 602,833) | (____ 789,252) |
| 撤销后成本 | $16,309,259 | $235,110 | $28,969 | $11,230 | $2,030 | $____ - | $____ - | $16,695,012 |

| 项目 | 未逾期 | 逾期30天以下 | 逾期31~60天 | 逾期61~90天 | 逾期91~120天 | 逾期121~180天 | 逾期180天以上 | 合计 |
|------|--------|--------------|-------------|-------------|--------------|----------------|--------------|------|
| 预期信用损失率（注2） | 0%~5% | 5% | 10% | 30% | 50% | 80% | 100% | 4,780,349 |
| 总账面金额 | $3,988,010 | $136 | $6,960 | $14,271 | $411 | $799 | $769,762 | $4,780,349 |
| 坏账损失（存续期间预期信用损失） | (____ 7,835) | (____ 68) | (____ 890) | (____ 4,293) | (____ 210) | (____ 639) | (____ 769,762) | (____ 783,697) |
| 撤销后成本 | $3,980,175 | $68 | $6,070 | $9,978 | $201 | $160 | $____ - | $3,996,652 |
