# 财务报告

## 财务数据

### 一、二零一年第三季财务报表

| 项目 | 一、二零一年第三季 | 一、二零一年第二季 | 一、二零一年第一季度 | 一、二零一年前一季度 |
|------|------------------|------------------|------------------|------------------|
| 营业收入 | $110,097,528 | $142,161,276 | $303,884,325 | $440,601,946 |
| 营业成本 | $57,905,182 | $72,065,867 | $159,133,675 | $221,958,877 |
| 营业毛利 | $52,192,346 | $70,095,409 | $144,750,650 | $218,643,069 |
| 营业费用 | $3,777,662 | $3,526,557 | $9,764,529 | $10,571,866 |
| 推销费用 | $2,260,562 | $2,405,911 | $6,954,089 | $10,539,212 |
| 研究开发费用 | $28,242,000 | $30,105,923 | $80,912,650 | $88,827,171 |
| 预期信用减损损失 | $32,348 | $2,988 | $55,600 | $2,623 |
| 营业费用合计 | $34,247,876 | $37,041,379 | $97,686,868 | $109,940,872 |
| 营业利润 | $17,944,470 | $33,054,030 | $47,063,782 | $108,702,197 |
| 利息收入 | $1,663,575 | $908,318 | $4,939,247 | $1,882,409 |
| 其他收入 | $1,140,900 | $962,996 | $5,566,507 | $2,166,617 |
| 其他利益及损失 | $317,531 | $715,656 | $1,022,298 | $976,384 |
| 财务成本 | $253,119 | $118,494 | $327,604 | $263,288 |
| 接受权益法确认的关联企业及合营损益的份额 | $179,607 | $73,982 | $202,674 | $1,039,588 |
| 营业外收入及支出合计 | $3,048,494 | $2,542,458 | $11,403,122 | $5,801,710 |
| 税前净利 | $20,992,964 | $35,596,488 | $58,466,904 | $114,503,907 |
| 所得税费用 | $2,424,450 | $4,511,127 | $6,989,075 | $14,393,288 |
| 本期净利 | $18,568,514 | $31,085,361 | $51,477,829 | $100,110,619 |
| 其他综合收益 | $9,492,726 | $2,923,733 | $20,149,893 | $4,969,947 |
| 本期综合收益总额 | $28,061,240 | $34,009,094 | $71,627,722 | $95,140,672 |
| 母公司股东 | $18,477,639 | $30,954,628 | $51,315,980 | $99,653,029 |
| 非控制权益 | $90,875 | $130,733 | $161,849 | $457,590 |
| 综合收益总额 | $18,568,514 | $31,085,361 | $51,477,829 | $100,110,619 |
| 母公司股东 | $27,954,441 | $33,840,492 | $71,469,210 | $94,645,930 |
| 非控制权益 | $106,799 | $168,602 | $158,512 | $494,742 |
| 综合收益总额 | $28,061,240 | $34,009,094 | $71,627,722 | $95,140,672 |
| 基本每股收益(元) | $11.64 | $19.54 | $32.35 | $62.95 |
| 本期净利 | $11.61 | $19.47 | $32.23 | $62.63 |

## 董事长：蔡明
## 经理人：蔡力
## 会计主管：顾大勇

---

### 请参阅合并财务报表附注

---

### - 6 -
