### 财务报告 - 存货

#### 111年3月31日
| 项目 | 成本 | 帐面金额 |
|------|------|---------|
| 原料 | $31,763,880 | $26,808,830 |
| 在制品 | $7,105,774 | $7,094,515 |
| 在制品 | $36,817,457 | $32,619,622 |
| 在途存货 | $665,282 | $665,282 |
| 总计 | $76,352,393 | $67,188,249 |

#### 110年12月31日
| 项目 | 成本 | 帐面金额 |
|------|------|---------|
| 原料 | $31,146,737 | $26,889,421 |
| 在制品 | $6,874,478 | $6,863,724 |
| 在制品 | $35,428,828 | $31,564,584 |
| 在途存货 | $789,622 | $789,622 |
| 总计 | $74,239,665 | $66,107,351 |

#### 110年3月31日
| 项目 | 成本 | 帐面金额 |
|------|------|---------|
| 原料 | $20,930,143 | $18,281,323 |
| 在制品 | $5,639,596 | $5,626,387 |
| 在制品 | $28,139,435 | $24,285,942 |
| 在途存货 | $950,519 | $950,519 |
| 总计 | $55,659,693 | $49,144,171 |

#### 本集团当期确认为费用的存货成本：
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|------------------|------------------|
| 已出售存货成本 | $57,683,002 | $49,753,704 |
| 存货跌价及呆滞损失 | 1,359,439 | 127,159 |
| 其他 | (197,890) | (188,849) |
| 总计 | $58,844,551 | $49,692,014 |
