```markdown
# 八、透過其他綜合損益按公允價值衡量之金融資產

|  | 112年 | 111年 | 111年 |
|---|---|---|---|
|  | 3月31日 | 12月31日 | 3月31日 |
| 流動 |  |  |  |
| 國內投資 |  |  |  |
| 上市（櫃）股票 | $6,215,071 | $5,264,273 | $5,683,629 |
| 興櫃及未上市（櫃）股票 | 27,990 | 28,607 | 39,478 |
| 公司債 | 121,752 | 121,159 | - |
|  | 6,364,813 | 5,414,039 | 5,723,107 |
| 國外投資 |  |  |  |
| 公司債 | 44,717 | 14,767 | 14,327 |
|  | 6,409,530 | 5,428,806 | 5,737,434 |
| 非流動 |  |  |  |
| 國內投資 |  |  |  |
| 上市（櫃）股票 | $9,952,862 | $9,302,598 | $10,148,621 |
| 興櫃及未上市（櫃）股票 | 2,929,871 | 2,811,678 | 3,006,090 |
|  | 12,882,733 | 12,114,276 | 13,154,711 |
| 國外投資 |  |  |  |
| 未上市股票 | 32,413,137 | 33,552,612 | 38,708,250 |
| 上市股票 | 2,252,335 | 2,046,926 | 2,392,290 |
| 權利證書 | 904,776 | 901,079 | 932,490 |
|  | 35,570,248 | 36,500,617 | 42,033,030 |
|  | 48,452,981 | 48,614,893 | 55,187,741 |

**本公司及子公司依中長期策略目的投資國內外公司股票，並預期透過長期投資獲利，本公司及子公司管理階層認為若將該等投資之短期公允價值波動列入損益，與前述長期投資規劃不一致，因此選擇指定該等投資為透過其他綜合損益按公允價值衡量。**
```
