```markdown
|  | 短期借款 | 應付短期票券 | 應付公司債 | 長期借款 | 租賃負債 | 存入保證金 | 負債總額 |
|---|---|---|---|---|---|---|---|
| 111年1月1日餘額 | $ 24,530,062 | $ 11,178,763 | $ 52,050,000 | $ 14,083,293 | $ 79,747,850 | $ 6,555,269 | $ 188,145,237 |
| 繳資現金流量之變動 | 7,157,510 | ( 1,229,518) | - | 1,847,898 | ( 3,156,225) | 237,142 | 4,856,807 |
| 其他非現金之變動 | - | - | - | - | 6,230,213 | - | 6,230,213 |
| 匯率變動之影響 | - | - | - | - | 27,356 | ( 110,137) | ( 82,781) |
| 111年3月31日餘額 | $ 31,687,572 | $ 9,949,245 | $ 52,050,000 | $ 15,958,547 | $ 82,711,701 | $ 6,792,411 | $ 199,149,476 |

|  | 短期借款 | 應付短期票券 | 應付公司債 | 長期借款 | 租賃負債 | 存入保證金 | 負債總額 |
|---|---|---|---|---|---|---|---|
| 110年1月1日餘額 | $ 22,364,771 | $ 14,872,897 | $ 43,500,000 | $ 15,498,970 | $ 76,558,595 | $ 6,109,838 | $ 178,905,071 |
| 繳資現金流量之變動 | 6,367,376 | 5,076,090 | - | ( 4,420,470) | ( 2,995,213) | 406,093 | 4,433,876 |
| 其他非現金之變動 | - | - | - | - | 3,872,421 | - | 3,872,421 |
| 匯率變動之影響 | - | - | - | - | ( 6,316) | 35,202 | - |
| 110年3月31日餘額 | $ 28,732,147 | $ 19,948,987 | $ 43,500,000 | $ 11,072,184 | $ 77,471,005 | $ 6,515,931 | $ 187,240,254 |
```
