```markdown
|  | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|---|---|---|
| 保固成本： |  |  |
| - 關聯企業 |  |  |
| 國都 | $83,045 | $82,067 |
| 中部 | 79,545 | 75,411 |
| 桃苗 | 71,388 | 62,488 |
| 南都 | 50,999 | 45,073 |
| 高都 | 47,550 | 45,467 |
| 北都 | 47,518 | 43,442 |
| 其他 | 10,069 | 8,645 |
| - 主要管理階層控制之個體 |  |  |
|  | 493 | 2,639 |
|  | $390,607 | $365,232 |
|  |  |  |
| 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|  |  |  |
| (3)運費： |  |  |
| - 關聯企業 |  |  |
| 泛台 | $43,088 | $42,138 |
| 益台 | 45,213 | 34,244 |
| 其他 | 612 | 679 |
|  | $88,913 | $77,061 |
|  |  |  |
| 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|  |  |  |
| 運費： |  |  |
| - 關聯企業 |  |  |
| 泛台 | $129,013 | $146,444 |
| 益台 | 124,212 | 108,955 |
| 其他 | 1,919 | 2,354 |
|  | $255,144 | $257,753 |
|  |  |  |
| 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|  |  |  |
| (4)佣金費用： |  |  |
| - 主要管理階層控制之個體 |  |  |
| 和安 | $278,312 | $256,844 |
|  |  |  |
| 佣金費用： |  |  |
| - 主要管理階層控制之個體 |  |  |
| 和安 | $785,234 | $758,072 |
```
