```markdown
### 3. 流動性風險

本公司及子公司管理階層持續針對現金流量變化、淨現金部位及重大資本支出等進行管控，掌握銀行融資額度使用狀況以調整長短期借款比例或發行公司債因應，並確保借款合約條款之遵循。

非衍生金融負債剩餘合約到期分析係依本公司及子公司最早可能被要求還款之日期，按金融負債未折現現金流量（包含本金及估計利息）編製。因此，本公司及子公司可被要求立即還款之銀行借款，係列於下表最早之期間內，不考慮銀行立即執行該權利之機率；其他非衍生金融負債到期分析係依照約定之還款日編製。

下表係按到期日及未折現之到期金額彙總列示本公司及子公司已約定還款期間之金融負債分析：

|  | 1 年以內 | 1 至 5 年 | 5 年以上 | 合計 |
| --- | --- | --- | --- | --- |
| 112年3月31日 |  |  |  |  |
| 非衍生金融負債 |  |  |  |  |
| 無附息負債 | $38,201,496 | $413,257 | $ | $38,614,753 |
| 租賃負債 | 1,337,191 | 3,032,973 | 10,852,163 | 15,222,327 |
| 浮動利率負債 | 33,291,784 | 53,875,136 | 14,173,935 | 101,340,855 |
| 固定利率負債 | 87,662,145 | 39,381,460 | 9,053,418 | 136,097,023 |
| 退款負債 | 1,871,069 | - | - | 1,871,069 |
| 財務保證負債 | - | 171,727 | 519,701 | 691,428 |
|  | $162,363,685 | $96,874,553 | $34,599,217 | $293,837,455 |

|  |  |  |  |  |
| --- | --- | --- | --- | --- |
| 111年12月31日 |  |  |  |  |
| 非衍生金融負債 |  |  |  |  |
| 無附息負債 | $41,140,780 | $348,104 | $ | $41,488,884 |
| 租賃負債 | 1,410,817 | 3,081,631 | 8,935,532 | 13,427,980 |
| 浮動利率負債 | 56,571,282 | 72,634,838 | 10,600,622 | 139,806,742 |
| 固定利率負債 | 51,400,456 | 40,075,920 | 11,793,344 | 103,269,720 |
| 退款負債 | 2,466,410 | - | - | 2,466,410 |
```

- 67 -
