```markdown
| 代 碼 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|-------|---------------------|---------------------|
| A32180 | 其他應付款 | ($ 1,779,902) | $ 819,280 |
| A32190 | 其他應付款－關係人 | 414 | (2,135) |
| A32230 | 其他流動負債 | (581,276) | 86,803 |
| A32210 | 其他非流動負債 | - | 639,515 |
| A32240 | 淨確定福利負債 | 54,091 | 36,822 |
| A33000 | 營運產生之淨現金流入 | 8,217,740 | 7,295,626 |
| A33100 | 收取之利息 | 631,826 | 274,154 |
| A33300 | 支付之利息 | (443,088) | (184,722) |
| A33500 | 支付之所得稅 | (1,995,730) | (535,240) |
| AAAA | 營業活動之淨現金流入 | 6,410,748 | 6,849,818 |

### 投資活動之現金流量

| B00010 | 取得透過其他綜合損益按公允價值衡量之金融資產 | - | (53,785) |
| B00040 | 取得按攤銷後成本衡量之金融資產 | (7,098,555) | (4,955,840) |
| B00050 | 處分按攤銷後成本衡量之金融資產 | 3,374,733 | 4,073,413 |
| B00100 | 取得透過損益按公允價值衡量之金融資產 | (2,528,955) | (5,296,915) |
| B00200 | 處分透過損益按公允價值衡量之金融資產 | 4,827,760 | 4,367,764 |
| B01800 | 取得採用權益法之投資 | (1,136) | - |
| B02700 | 購置不動產、廠房及設備 | (5,540,971) | (2,884,322) |
| B02800 | 處分不動產、廠房及設備 | 44,066 | 66,118 |
| B03700 | 存出保證金增加 | (2,850) | (18,718) |
| B04500 | 取得無形資產 | (100,155) | (90,652) |
| B06700 | 其他非流動資產增加 | (2,431,972) | - |
| BBBB | 投資活動之淨現金流出 | (9,458,035) | (4,792,937) |

### 繳資活動之現金流量

| C00100 | 短期借款淨增加（減少） | 1,535,057 | (7,683,814) |
| C00500 | 應付短期票券淨增加 | 7,309,652 | - |
| C01200 | 發行公司債 | - | 4,494,395 |
| C01600 | 舉借長期借款 | 15,854,750 | 13,788,313 |
| C01700 | 償還長期借款 | (14,215,607) | (12,231,860) |
| C03000 | 存入保證金增加 | - | 60,115 |
| C03100 | 存入保證金減少 | (48,467) | - |

(接次頁)
```
