```markdown
| EGH | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
| --- | --- | --- |
| 收入 | $14,462,838 | $37,100,252 |
| 稅前淨利 | $9,192,631 | $23,795,462 |
| 所得稅費用 | (997,923) | (1,031,246) |
| 本期淨利 | 8,194,708 | 22,764,216 |
| 其他綜合損失（稅後淨額） | (217,385) | (34,383) |
| 本期綜合利益總額 | $7,977,323 | $22,729,833 |
| 綜合利益總額歸屬於非控制權益 | $1,789,862 | $4,685,429 |
| 支付予非控制權益股利 | $3,867,692 | $53,422 |

| EGH | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
| --- | --- | --- |
| 收入 | $70,921,946 | $86,276,029 |
| 稅前淨利 | $47,167,279 | $50,859,343 |
| 所得稅費用 | (3,130,191) | (2,080,512) |
| 本期淨利 | 44,037,088 | 48,778,831 |
| 其他綜合損失（稅後淨額） | (382,780) | (6,349) |
| 本期綜合利益總額 | $43,654,308 | $48,772,482 |
| 綜合利益總額歸屬於非控制權益 | $9,287,688 | $10,050,005 |
| 支付予非控制權益股利 | $9,637,343 | $201,942 |

| 現金流量表 |  |  |
| --- | --- | --- |
| EGH | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
| 營業活動之淨現金流入 | $4,859,822 | $22,043,929 |
| 投資活動之淨現金流出 | (99,565) | (362,527) |
| 繳資活動之淨現金流出 | (2,753,062) | (14,976,115) |
| 匯率變動對現金及約當現金之影響 | 355,382 | (56,385) |
| 本期現金及約當現金增加數 | 2,362,577 | 6,648,902 |
| 期初現金及約當現金餘額 | 1,432,318 | 2,524,302 |
| 期末現金及約當現金餘額 | $3,794,895 | $9,173,204 |

| EMU | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
| --- | --- | --- |
| 營業活動之淨現金流入 | $ | $22,043,929 |
| 投資活動之淨現金流出 | (99,565) | (362,527) |
| 繳資活動之淨現金流出 | (2,753,062) | (14,976,115) |
| 匯率變動對現金及約當現金之影響 | 355,382 | (56,385) |
| 本期現金及約當現金增加數 | 2,362,577 | 6,648,902 |
| 期初現金及約當現金餘額 | 1,432,318 | 2,524,302 |
| 期末現金及約當現金餘額 | $3,794,895 | $9,173,204 |
```
