```markdown
| 投資公司 | 子公司名稱 | 業務性質 | 所持股權百分比 |
| --- | --- | --- | --- |
|  |  |  | 112年9月30日 | 111年12月31日 | 111年9月30日 | 說明 |
| 華碩 | 華碩健康(股)公司（華碩健康） | 網際網路資訊服務之銷售 | 90.00 | 90.00 | 90.00 |  |
| 華碩 | 亞旭電腦(股)公司（亞旭） | 資訊通訊產品及電腦週邊零組件之設計、製造、維修及銷售 | 100.00 | 100.00 | 100.00 |  |
| 華碩 | 華誠創業投資(股)公司（華誠） | 電腦週邊事業之投資 | 100.00 | 100.00 | 100.00 |  |
| 華碩 | 華敏投資(股)公司（華敏） | 電腦週邊事業之投資 | 100.00 | 100.00 | 100.00 |  |
| 華碩 | QUANTUM CLOUD INTERNATIONAL PTE. LTD.（QCI） | 資訊技術之服務 | 100.00 | 100.00 | 100.00 |  |
| 華碩 | 競碩文化傳媒(上海)有限公司（競碩上海） | 職業電競運動之參與及推廣 | 100.00 | 100.00 | 100.00 |  |
| 華碩 | 宇碩電子(股)公司（宇碩） | 車用電子及電腦週邊產品之製造及銷售 | 100.00 | 100.00 | 100.00 |  |
| 華碩 | 台灣智慧雲端服務(股)公司（台智雲） | AI運算之服務 | 80.60 | 80.60 | 80.60 |  |
| 華碩 | 元碩電腦(股)公司（元碩） | 雲端資訊軟體事業之投資 | 100.00 | - | - |  |
| 華碩 | ASUS TECH USA（ATUS） | 3C資訊產品之研發 | 100.00 | - | - |  |
| 華碩及華誠 | 翔威國際(股)公司（翔威） | 資訊系統軟體之研發、銷售及諮詢 | 51.00 | 51.00 | 51.00 |  |
| 華碩及華誠 | 國際聯合科技(股)公司（國際聯合） | 噴墨列印頭與噴墨數位影像輸出系統之研發、製造及銷售 | 69.25 | 69.25 | 69.25 |  |
| 華碩及華誠 | 杏碩資訊(股)公司（杏碩） | 資訊系統之服務 | 51.00 | 51.00 | 51.00 |  |
| 華碩及華誠 | PT. ASUS TECHNOLOGY INDONESIA BATAM（ACBT） | 印尼地區3C資訊產品之銷售 | 100.00 | 100.00 | 100.00 |  |
| 華碩及華誠 | PT. ASUS TECHNOLOGY INDONESIA JAKARTA（ACJK） | 印尼地區3C資訊產品之銷售 | 100.00 | 100.00 | 100.00 |  |
| 華碩及華誠 | 尚立光電(股)公司（尚立光電） | 虛像光學之光機引擎及車用抬頭顯示器之研發、製造及銷售 | 83.30 | 83.30 | 50.14 |  |
| 華碩、華誠及華敏 | 祥碩科技(股)公司（祥碩） | 高速類比電路之設計、研發及製造 | 45.91 | 45.94 | 45.94 |  |
| 華碩、華誠及華敏 | 研揚科技(股)公司（研揚） | 工業用電腦及電腦週邊產品之製造及銷售 | 37.74 | 40.53 | 40.56 |  |
| 華碩、華敏及研揚 | 醫揚科技(股)公司（醫揚） | 醫療用電腦之設計、製造及銷售 | 54.66 | 55.06 | 55.06 | 註1 |
```
