### 财务报表分析

#### 公司名称
- **中华电信股份有限公司及子公司**

#### 报表类型
- **合并权益变动表**

#### 报表期间
- **民国111年及110年1月1日至3月31日**

#### 报表单位
- **新台币仟元**

#### 报表内容
- **归属于母公司股东之权益**
  - **股本－普通股**
  - **资本公积**
  - **盈余公积**
  - **未分配盈余**
  - **其他综合收益**
  - **非控制权益**

#### 报表分析
- **A1**：110年1月1日余额
  - 股本：$77,574,465
  - 资本公积：$171,261,379
  - 盈余公积：$2,675,419
  - 未分配盈余：$314,531
  - 其他综合收益：$1,239,901
  - 非控制权益：$377,931,016
  - 总计：$11,327,441
  - 母公司股东权益总额：$389,258,457

- **D1**：110年1月1日至3月31日净利
  - 净利：$8,804,944
  - 总计：$316,686
  - 母公司股东权益总额：$9,121,630

- **D3**：110年1月1日至3月31日其他综合收益净额
  - 净额：$758
  - 总计：$35,695
  - 母公司股东权益总额：$984,539
  - 非控制权益：$1,537
  - 总计：$986,076

- **D5**：110年1月1日至3月31日综合收益总额
  - 总额：$8,805,702
  - 总计：$35,695
  - 母公司股东权益总额：$7,820,405
  - 非控制权益：$315,149
  - 总计：$8,135,554

- **Q1**：处分透过其他综合收益按公允价值衡量之权益工具投资
  - 投资：$94,392
  - 总计：$94,392

- **O1**：子公司股份基础给付交易
  - 交易：$15,568
  - 总计：$15,568

- **Z1**：110年3月31日余额
  - 总额：$385,766,989
  - 总计：$11,683,751
  - 母公司股东权益总额：$397,450,740

- **A1**：111年1月1日余额
  - 总额：$379,334,846
  - 总计：$11,927,604
  - 母公司股东权益总额：$391,262,450

- **O1**：子公司股東现金股利
  - 股利：$370,957
  - 总计：$370,957

- **C7**：采用权益法认列关联企业及合资之资本公积变动数
  - 变动数：$1,159
  - 总计：$51
  - 总计：$1,210

- **D1**：111年1月1日至3月31日净利
  - 净利：$9,059,580
  - 总计：$331,397
  - 母公司股东权益总额：$9,390,977

- **D3**：111年1月1日至3月31日其他综合收益净额
  - 净额：$1,524
  - 总计：$66,473
  - 总计：$37,495
  - 总计：$16,341
  - 总计：$46,843
  - 总计：$3,318
  - 总计：$50,161

- **D5**：111年1月1日至3月31日综合收益总额
  - 总额：$9,061,104
  - 总计：$66,473
  - 总计：$37,495
  - 总计：$16,341
  - 总计：$9,106,423
  - 总计：$334,715
  - 总计：$9,441,138

- **O1**：子公司股份基础给付交易
  - 交易：$13,147
  - 总计：$38,269
  - 总计：$51,416

- **Z1**：111年3月31日余额
  - 总额：$388,453,257
  - 总计：$11,929,580
  - 母公司股东权益总额：$400,382,837

#### 结论
- 从上述财务报表分析可以看出，中华电信股份有限公司及子公司在2021年1月至3月期间，实现了显著的盈利增长，净利润从2020年的$8,804,944增长至2021年的$9,059,580，增长了约3.1%。同时，公司的股东权益总额也从2020年的$397,450,740增长至2021年的$400,382,837，增长了约0.7%。这表明公司在过去的一年中，通过有效的经营策略和管理措施，实现了股东权益的稳步增长。
