```markdown
# 2. 列入合併財務報告之子公司：

| 編號 | 投資公司名稱 | 子公司名稱 | 業務性質 | 合併所持股權百分比 |
|------|--------------|------------|----------|---------------------|
| 1    | 台達電子工業股份有限公司 | Delta International Holding Limited B.V. (DIH) | 投資事業 | 100.00 100.00 100.00 (註14) |
| 2    | " | Delta Networks Holding Limited (DNH) | " | 100.00 100.00 100.00 |
| 3    | " | Delta Electronics (Netherlands) B.V. (DEN) | 經營電源、視訊、零組件、機電等產品及材料之買賣 | 100.00 100.00 100.00 |
| 4    | " | 乾坤科技股份有限公司 (乾坤) | 薄膜光電元件等之研究、開發、生產、製造與銷售 | 100.00 100.00 100.00 |
| 5    | " | 達爾生技股份有限公司 (達爾) | 醫療器材製造、批發與銷售 | 100.00 100.00 100.00 (註1) (註2) |
| 6    | " | 台達資本股份有限公司 (台達資本) | 投資事業 | 100.00 100.00 100.00 |
| 7    | " | Delta Electronics Int'l (Singapore) Pte. Ltd. (DEIL-SG) | 研發、經營及銷售電子產品 | 100.00 100.00 100.00 |
| 8    | " | 展茂光電股份有限公司 (展茂) | 租賃服務等 | 99.97 99.97 99.97 |
| 9    | 台達電子工業股份有限公司、DEN | Delta America Ltd. (DAL) | 投資事業 | 100.00 100.00 100.00 |
| 10   | DEN | Delta Electronics (H.K.) Ltd. (DHK) | 投資事業及提供作業管理服務 | 100.00 100.00 100.00 |
| 11   | DIH | DEI Logistics (USA) Corp. (ALI) | 提供海外發貨倉儲作業服務 | 100.00 100.00 100.00 |
```
