```markdown
| 編號 | 投資公司名稱 | 子公司名稱 | 業務性質 | 111年3月31日 | 110年12月31日 | 110年3月31日 | 說明 |
|------|--------------|------------|----------|--------------|--------------|--------------|------|
| 86.  | DEN          | Delta Greentech Electronics Industry LLC | 經營電子產品之行銷及銷售業務 | 100.00       | 100.00       | 100.00       | （註1）（註2） |
| 87.  | DEN、Delta Electronics (USA) INC. | DELTA GREENTECH (BRASIL) LTDA. (DGB) | 經營電子產品之製造及買賣 | 100.00       | 100.00       | 100.00       | （註1）（註2）（註26） |
| 88.  | DECH         | Delta Electronics (Czech Republic), spol. s.r.o. | 經營電子產品之買賣 | 100.00       | 100.00       | 100.00       | （註1）（註2） |
| 89.  | "           | Delta Electronics (Italy) S.r.l. | " | 100.00       | 100.00       | 100.00       | （註1）（註2） |
| 90.  | "           | Delta Electronics (Poland) Sp. z o.o. | " | 100.00       | 100.00       | 100.00       | （註1）（註2） |
| 91.  | "           | Delta Solutions (Finland) Oy | " | 100.00       | 100.00       | 100.00       | （註1）（註2） |
| 92.  | "           | Delta Electronics Solutions (Spain) SL | " | 100.00       | 100.00       | 100.00       | （註1）（註2） |
| 93.  | ELTEK POWER FRANCE SAS | Delta Electronics (France) SA | " | -            | -            | 100.00       | （註1）（註8） |
| 94.  | 台達電子工業股份有限公司 | 晶睿通訊股份有限公司(晶睿) | 影音壓縮軟體及編碼、網路影音伺服器、網路攝影機及相關零組件之製造及銷售 | 55.65        | 55.09        | 52.65        |  |
| 95.  | 晶睿、睿盈 | 睿緻科技股份有限公司(睿緻) | 多媒體積體電路之設計及銷售 | -            | -            | 54.41        | （註10） |
| 96.  | 晶睿 | Vivotek Holdings, Inc. | 控股公司 | 100.00       | 100.00       | 100.00       |  |
```
