```markdown
# 112 年 3 月 31 日

|  | 第 1 等級 | 第 2 等級 | 第 3 等級 | 合計 |
|---|---|---|---|---|
| 透過損益按公允價值衡量之金融資產 | $ 2,937,731 | $ - | $ - | $ 2,937,731 |
| 基金受益憑證 | - | - | 836,866 | 836,866 |
| 未上市（櫃）股票 | - | - | 148,241 | 148,241 |
| 上市（櫃）股票 | 80,206 | - | - | 80,206 |
| 可轉換公司債 | 89,707 | - | - | 89,707 |
| 遠期外匯合約 | - | 17 | - | 17 |
| 期貨合約 | - | 2,257 | - | 2,257 |
|  | $ 3,107,644 | $ 2,274 | $ 985,107 | $ 4,095,025 |

|  | 第 1 等級 | 第 2 等級 | 第 3 等級 | 合計 |
|---|---|---|---|---|
| 透過損益按公允價值衡量之金融負債 | $ - | $ - | $ 585 | $ 585 |
| 可轉換公司債贖回權及 | - | 105 | - | 105 |
| 賣回權淨額 | $ - | $ - | $ 585 | $ 585 |
| 遠期外匯合約 | - | 105 | - | 105 |
|  | $ - | $ 105 | $ 585 | $ 690 |

|  | 第 1 等級 | 第 2 等級 | 第 3 等級 | 合計 |
|---|---|---|---|---|
| 透過其他綜合損益按公允價值衡量之金融資產 | $ - | $ - | $ 33,317,913 | $ 33,317,913 |
| 國外未上市股票及權利 | 16,167,933 | - | - | 16,167,933 |
| 證書 | - | - | 2,957,861 | 2,957,861 |
| 國內上市（櫃）股票 | 2,252,335 | - | - | 2,252,335 |
| 國內興櫃及未上市（櫃） | 166,469 | - | - | 166,469 |
| 股票 | $ 18,586,737 | $ - | $ 36,275,774 | $ 54,862,511 |

|  | 第 1 等級 | 第 2 等級 | 第 3 等級 | 合計 |
|---|---|---|---|---|
| 避險之金融資產 | $ - | $ 582,452 | $ - | $ 582,452 |
| 利率交換合約 | - | 537,548 | - | 537,548 |
| 遠期外匯合約 | $ - | $ 1,120,000 | $ - | $ 1,120,000 |

|  | 第 1 等級 | 第 2 等級 | 第 3 等級 | 合計 |
|---|---|---|---|---|
| 避險之金融負債 | $ - | $ 2,235 | $ - | $ 2,235 |

# 111 年 12 月 31 日

|  | 第 1 等級 | 第 2 等級 | 第 3 等級 | 合計 |
|---|---|---|---|---|
| 透過損益按公允價值衡量之金融資產 | $ 2,411,582 | $ - | $ - | $ 2,411,582 |
| 基金受益憑證 | - | - | 841,723 | 841,723 |
| 未上市（櫃）股票 | - | - | 122,120 | 122,120 |
| 上市（櫃）股票 | 79,627 | - | - | 79,627 |
| 可轉換公司債 | 41,130 | - | - | 41,130 |
| 遠期外匯合約 | - | 182 | - | 182 |
| 期貨合約 | - | 2,257 | - | 2,257 |
|  | $ 2,532,339 | $ 2,439 | $ 963,843 | $ 3,498,621 |

|  | 第 1 等級 | 第 2 等級 | 第 3 等級 | 合計 |
|---|---|---|---|---|
| 透過其他綜合損益按公允價值衡量之金融資產 | $ - | $ - | $ 34,453,691 | $ 34,453,691 |
| 國外未上市股票及權利 | 14,566,871 | - | - | 14,566,871 |
```
