```markdown
| 編號 | 投資公司名稱 | 子公司名稱 | 業務性質 | 111年3月31日 | 110年12月31日 | 110年3月31日 | 說明 |
|------|--------------|------------|----------|--------------|--------------|--------------|------|
| 28.  | DHK、DIH     | Delta Electronics International Mexico S.A. DE C.V. (DEIL-MX) | 工業自動化產品及通訊設備用電源管理系統之銷售 | 100.00       | 100.00       | 100.00       | （註1）（註2）（註19） |
| 29.  | DHK          | 達而泰(天津)實業有限公司（達而泰） | 經營電壓控制器等電子產品之製造及銷售業務 | 100.00       | 100.00       | 100.00       | （註1）（註2） |
| 30.  | "           | 台達電子(平潭)有限公司（台達電子平潭） | 電子產品、節能設備批發銷售等 | 100.00       | 100.00       | 100.00       | （註1）（註2） |
| 31.  | DEJ          | Addtron Technology (Japan), Inc. (AT Japan) | 電腦網路及週邊設備之買賣 | 100.00       | 100.00       | 100.00       | （註2） |
| 32.  | "           | Delta Electronics (Korea), Inc. (Delta Korea) | 經營電源、視訊、零組件、機電等產品及材料之買賣 | 100.00       | 100.00       | 100.00       | （註2） |
| 33.  | 台達電子郴州 | 郴州台達科技有限公司（郴州台達科技） | 經營變壓器等電子產品之製造及銷售業務 | 100.00       | 100.00       | 100.00       |  |
| 34.  | 台達企管、中達電通 | 上海中達能源科技有限公司（上海中達能源） | 合同能源管理、節能技術開發、節能設備及能源管理系統開發、諮詢服務及安裝銷售等 | 100.00       | 100.00       | 100.00       | （註1）（註2） |
| 35.  | DNH          | Delta Networks, Inc. (DNI Cayman) | 投資事業 | 100.00       | 100.00       | 100.00       |  |
| 36.  | DNI Cayman   | Delta Networks (HK) Limited (DNHK) | " | 100.00       | 100.00       | 100.00       |  |
```
